ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1656621	0.001141	1.22e-06	-6.218996	5.451938	-0.7218517	571026644	CHMP2A	charged multivesicular body protein 2A
ILMN_1768973	0.001141	1.26e-06	-6.205031	5.418251	-1.8417711	27436923	HIST2H2AC	histone cluster 2, H2ac
ILMN_1767459	0.001141	1.28e-06	6.199708	5.405404	0.5181693	238908502	POLR3B	RNA polymerase III subunit B
ILMN_1671536	0.001141	1.33e-06	-6.184746	5.369281	-0.524474	223890198	ZBTB22	zinc finger and BTB domain containing 22
ILMN_1659047	0.001141	1.40e-06	-6.165928	5.323812	-1.7691877	21328454	HIST2H2AA3	histone cluster 2, H2aa3
ILMN_1653690	0.001141	1.41e-06	-6.16269	5.315985	-1.6340412	1015809708	TNFSF14	tumor necrosis factor superfamily member 14
ILMN_1734445	0.001141	1.43e-06	6.158599	5.306093	0.6220921	208431816	PKDCC	protein kinase domain containing, cytoplasmic
ILMN_1777487	0.001141	1.44e-06	6.155245	5.297984	0.5083861	392513691	ZNF839	zinc finger protein 839
ILMN_1813669	0.001158	1.51e-06	6.136407	5.252408	0.7964087	140161499	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A
ILMN_1745271	0.001199	1.70e-06	-6.091448	5.143485	-0.5132598	56699483	EXOSC4	exosome component 4
ILMN_1768510	0.001199	1.72e-06	6.086929	5.132526	0.7758359	635574598	MAN2B2	mannosidase alpha class 2B member 2
ILMN_1671928	0.001199	1.73e-06	6.085432	5.128894	1.2772576	223671900	PROS1	protein S (alpha)
ILMN_1808047	0.001387	2.06e-06	-6.018113	4.965367	-0.7369841	115298643	PHC2	polyhomeotic homolog 2
ILMN_1781468	0.001566	2.42e-06	-5.956906	4.816299	-0.8249426	312222761	SMAP2	small ArfGAP2
ILMN_1720053	0.001566	2.53e-06	-5.940125	4.775365	-0.6199123	215276981	ZFAND3	zinc finger AN1-type containing 3
ILMN_1682081	0.001566	2.54e-06	-5.938836	4.77222	-1.0782084	664806057	RNF19B	ring finger protein 19B
ILMN_1743519	0.001603	2.67e-06	-5.919573	4.725197	-1.6427146	511772968	ADORA2A	adenosine A2a receptor
ILMN_1672717	0.001627	2.79e-06	5.903232	4.685278	0.7400239	393185900	TMEM254	transmembrane protein 254
ILMN_1703041	0.001627	2.86e-06	5.893787	4.662195	0.8739831	574287321	IDUA	iduronidase, alpha-L-
ILMN_1718610	0.001696	3.06e-06	5.868508	4.600375	0.4837972	569026712	ARHGAP17	Rho GTPase activating protein 17
ILMN_1761560	0.001753	3.24e-06	-5.846578	4.546697	-0.4452536	167466269	PHF13	PHD finger protein 13
ILMN_1775875	0.001755	3.32e-06	5.837053	4.523369	0.4312773	295849292	KLHDC1	kelch domain containing 1
ILMN_1736605	0.001795	3.48e-06	5.819517	4.4804	0.8250898	110227597	PLBD1	phospholipase B domain containing 1
ILMN_1652085	0.001815	3.60e-06	5.806782	4.449182	0.554576	315139023	MPHOSPH10	M-phase phosphoprotein 10
ILMN_1720027	0.001817	3.75e-06	5.791668	4.412109	0.4219607	751368105	ZNF23	zinc finger protein 23
ILMN_1728047	0.001817	3.77e-06	5.789469	4.406713	0.5313884	320202989	AKR1A1	aldo-keto reductase family 1 member A1
ILMN_1793433	0.001822	3.86e-06	5.780217	4.384009	0.4217676	256222018	RAB10	RAB10, member RAS oncogene family
ILMN_1654875	0.001857	4.07e-06	-5.759986	4.334336	-3.094294	357588508	CLC	Charcot-Leyden crystal galectin
ILMN_1761086	0.001857	4.10e-06	5.757286	4.327704	0.3809225	54234033	VPS54	VPS54, GARP complex subunit
ILMN_1658995	0.001857	4.24e-06	-5.744953	4.297404	-0.5882222	81295403	ACOT9	acyl-CoA thioesterase 9
ILMN_1725241	0.001857	4.29e-06	5.73999	4.285207	0.5937438	219842315	GSTK1	glutathione S-transferase kappa 1
ILMN_1712532	0.001857	4.36e-06	5.734095	4.270717	0.8110269	195927007	CARD9	caspase recruitment domain family member 9
ILMN_1717064	0.001857	4.58e-06	-5.716048	4.226342	-0.3586633	269847281	CFAP57	cilia and flagella associated protein 57
ILMN_1659786	0.001857	4.59e-06	5.714705	4.223037	0.4628186	226493202	TRMT13	tRNA methyltransferase 13 homolog
ILMN_1678707	0.001857	4.83e-06	5.695643	4.176133	0.4556155	386869490	TAF15	TATA-box binding protein associated factor 15
ILMN_1810127	0.001857	4.83e-06	5.695482	4.175737	0.2958763	61676103	ZNF789	zinc finger protein 789
ILMN_1768284	0.001857	4.86e-06	-5.693487	4.170827	-1.1704185	224589133	P2RY8	purinergic receptor P2Y8
ILMN_1766163	0.001857	4.89e-06	5.691197	4.165191	0.4415136	379317168	DDX1	DEAD/H-box helicase 1
ILMN_1687375	0.001857	5.12e-06	5.673578	4.121806	0.7954101	161377446	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ILMN_1794470	0.001857	5.30e-06	5.660539	4.089685	0.5824833	110815812	ANKFY1	ankyrin repeat and FYVE domain containing 1
ILMN_1660186	0.001857	5.35e-06	-5.656708	4.080244	-0.3921802	115387092	SYF2	SYF2 pre-mRNA splicing factor
ILMN_1778160	0.001857	5.38e-06	5.655011	4.076062	0.4507251	195963419	PFAS	phosphoribosylformylglycinamidine synthase
ILMN_1690566	0.001857	5.39e-06	5.654233	4.074145	0.78333	30474868	RASSF4	Ras association domain family member 4
ILMN_1791328	0.001857	5.40e-06	5.653733	4.072913	0.9754042	115430251	STK39	serine/threonine kinase 39
ILMN_1761147	0.001857	5.44e-06	-5.650775	4.065621	-0.4140619	194473703	GABPB1	GA binding protein transcription factor beta subunit 1
ILMN_1685095	0.001861	5.54e-06	-5.644224	4.049475	-0.3983947	40805834	BLOC1S4	biogenesis of lysosomal organelles complex 1 subunit 4
ILMN_1744196	0.001927	5.82e-06	-5.625282	4.002763	-0.5111634	565671688	C6orf1	chromosome 6 open reading frame 1
ILMN_1768784	0.001977	6.06e-06	5.610059	3.965205	0.395432	325053650	PSMC2	proteasome 26S subunit, ATPase 2
ILMN_1803348	0.002013	6.38e-06	5.59086	3.917814	0.3449759	217330567	EHBP1	EH domain binding protein 1
ILMN_1657495	0.002013	6.39e-06	5.590169	3.916108	0.7732563	747165392	MLEC	malectin
ILMN_1657680	0.002013	6.44e-06	-5.587132	3.908608	-0.4808916	45935390	CCDC69	coiled-coil domain containing 69
ILMN_1738529	0.002098	6.81e-06	5.566146	3.856768	0.7014501	119964729	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone
ILMN_1685237	0.002182	7.18e-06	5.546284	3.80768	0.6464782	NA		
ILMN_1743103	0.002207	7.59e-06	5.525432	3.756114	1.043496	55749543	SH3PXD2A	SH3 and PX domains 2A
ILMN_1685369	0.002207	7.63e-06	-5.523652	3.75171	-0.4651252	119393888	SLU7	SLU7 homolog, splicing factor
ILMN_1674593	0.002207	7.65e-06	5.52255	3.748985	0.7353506	205830469	SIGLEC11	sialic acid binding Ig like lectin 11
ILMN_1655414	0.002207	7.66e-06	-5.521982	3.74758	-1.9591152	1015809708	TNFSF14	tumor necrosis factor superfamily member 14
ILMN_1690342	0.002218	7.91e-06	5.509816	3.717478	0.9090312	375331875	LTA4H	leukotriene A4 hydrolase
ILMN_1703284	0.002218	8.12e-06	5.499863	3.692844	0.9594264	55749599	SPIRE2	spire type actin nucleation factor 2
ILMN_1752520	0.002218	8.13e-06	5.499524	3.692006	0.8142768	157388964	SLFN11	schlafen family member 11
ILMN_1729314	0.002218	8.26e-06	-5.493658	3.677484	-0.778457	727346118	PRG2	proteoglycan 2, pro eosinophil major basic protein
ILMN_1784602	0.002218	8.32e-06	-5.490812	3.670438	-0.7353791	310832422	CDKN1A	cyclin dependent kinase inhibitor 1A
ILMN_1721106	0.002218	8.38e-06	5.488226	3.664037	0.7446346	557128970	C14orf159	chromosome 14 open reading frame 159
ILMN_1748625	0.002218	8.40e-06	5.487447	3.662106	0.4914073	803378403	TCEAL4	transcription elongation factor A like 4
ILMN_1806601	0.002286	8.76e-06	5.471585	3.622825	0.4251599	149193320	GRSF1	G-rich RNA sequence binding factor 1
ILMN_1697510	0.002291	8.97e-06	-5.462841	3.601164	-0.5478179	253970487	ACSS2	acyl-CoA synthetase short-chain family member 2
ILMN_1693259	0.002291	8.99e-06	5.462018	3.599124	0.6965336	371875333	PDCD6IP	programmed cell death 6 interacting protein
ILMN_1726415	0.002313	9.17e-06	-5.454231	3.579828	-0.8265425	161377466	CCNA1	cyclin A1
ILMN_1783889	0.002364	9.48e-06	5.441766	3.548935	0.3973631	94557300	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1
ILMN_1802404	0.002401	9.74e-06	-5.431777	3.52417	-0.6326114	NA		
ILMN_1672503	0.00242	9.93e-06	5.424648	3.506493	0.7809411	347543827	DPYSL2	dihydropyrimidinase like 2
ILMN_1760855	0.002485	1.03e-05	5.410503	3.471412	0.7324207	21396493	OCRL	OCRL, inositol polyphosphate-5-phosphatase
ILMN_1815924	0.002626	1.11e-05	5.383921	3.405451	0.6194782	56788371	NUP107	nucleoporin 107
ILMN_1782778	0.002626	1.12e-05	-5.378146	3.391117	-0.7809734	222144300	UBALD2	UBA like domain containing 2
ILMN_1724194	0.002626	1.12e-05	5.377859	3.390404	0.7827441	63003926	NPEPL1	aminopeptidase-like 1
ILMN_1722834	0.002771	1.22e-05	5.347909	3.316032	0.8635324	108773791	RGS12	regulator of G-protein signaling 12
ILMN_1708064	0.002771	1.22e-05	5.347832	3.31584	0.3662323	197276596	MAP4	microtubule associated protein 4
ILMN_1701052	0.002771	1.23e-05	5.345182	3.30926	0.6838641	201860298	TUBG2	tubulin gamma 2
ILMN_1654629	0.002771	1.24e-05	5.342243	3.301957	0.7353994	661902937	TMEM175	transmembrane protein 175
ILMN_1748883	0.002779	1.25e-05	-5.337353	3.28981	-1.2167921	39995073	CDKN2D	cyclin dependent kinase inhibitor 2D
ILMN_1756928	0.00282	1.28e-05	5.328158	3.266962	1.0044303	NA		
ILMN_1728512	0.002939	1.35e-05	5.309022	3.2194	0.3000943	61744461	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
ILMN_1677827	0.003056	1.42e-05	5.290005	3.172118	0.9940322	67944638	TLR7	toll like receptor 7
ILMN_1668540	0.003056	1.45e-05	5.282157	3.152601	0.5326255	282165822	ZNHIT6	zinc finger HIT-type containing 6
ILMN_1687567	0.003056	1.47e-05	-5.27777	3.141691	-0.3623323	321400108	CUX1	cut like homeobox 1
ILMN_1664330	0.003056	1.49e-05	-5.272985	3.129789	-1.4253731	296317298	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
ILMN_1684887	0.003056	1.50e-05	-5.270767	3.124269	-1.5491181	373838706	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
ILMN_1778836	0.003056	1.51e-05	5.268712	3.119158	0.6531219	197209865	SRSF7	serine and arginine rich splicing factor 7
ILMN_1792951	0.003056	1.51e-05	-5.266907	3.114669	-0.796439	63079684	ZHX2	zinc fingers and homeoboxes 2
ILMN_1703072	0.003056	1.54e-05	-5.259513	3.096273	-0.3736454	38327637	CREB3	cAMP responsive element binding protein 3
ILMN_1669927	0.003056	1.54e-05	5.259454	3.096124	0.9022678	251823951	ICOS	inducible T-cell costimulator
ILMN_1730917	0.003056	1.56e-05	5.255571	3.086463	0.8587265	353523858	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
ILMN_1805192	0.003056	1.57e-05	-5.25385	3.08218	-0.8504025	436408727	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein
ILMN_1778668	0.003056	1.57e-05	5.252863	3.079725	1.4879957	48255906	TAGLN	transgelin
ILMN_1791392	0.003064	1.59e-05	5.248553	3.069	1.1622444	203098097	SHROOM3	shroom family member 3
ILMN_1738712	0.003092	1.62e-05	5.241765	3.052108	0.3902189	324710989	GPR180	G protein-coupled receptor 180
ILMN_1664912	0.003092	1.64e-05	5.237177	3.040688	0.8230625	NA		
ILMN_1781416	0.003092	1.65e-05	-5.235076	3.035459	-0.7517008	197313686	FRAT1	frequently rearranged in advanced T-cell lymphomas 1
ILMN_1758750	0.003092	1.66e-05	5.232419	3.028844	0.5680879	134288910	EARS2	glutamyl-tRNA synthetase 2, mitochondrial
ILMN_1790100	0.003134	1.70e-05	5.22266	3.004551	1.0345129	194239693	DDIAS	DNA damage induced apoptosis suppressor
ILMN_1673962	0.003134	1.71e-05	5.221157	3.000809	0.4116342	223468614	NUP205	nucleoporin 205
ILMN_1785179	0.003172	1.74e-05	5.213479	2.981691	0.5695944	321117276	UBE2G2	ubiquitin conjugating enzyme E2 G2
ILMN_1671568	0.003193	1.78e-05	5.206587	2.96453	1.1089514	312176382	ECHDC2	enoyl-CoA hydratase domain containing 2
ILMN_1765520	0.003193	1.78e-05	5.205022	2.960633	0.6841681	53729336	MTIF2	mitochondrial translational initiation factor 2
ILMN_1774844	0.003277	1.86e-05	-5.189019	2.920775	-0.6003369	341865588	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2
ILMN_1699852	0.003277	1.87e-05	5.187643	2.917348	0.7600039	307344674	CES4A	carboxylesterase 4A
ILMN_1739476	0.003277	1.88e-05	5.185158	2.911159	0.5117913	663070988	CCDC125	coiled-coil domain containing 125
ILMN_1732516	0.003277	1.89e-05	5.18342	2.906829	0.5674479	156071508	KNTC1	kinetochore associated 1
ILMN_1654516	0.003292	1.91e-05	-5.178828	2.895389	-1.0292032	221139702	TMEM120A	transmembrane protein 120A
ILMN_1694385	0.003346	1.96e-05	5.169841	2.873001	0.4749209	520975504	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
ILMN_1790533	0.003356	2.01e-05	5.160688	2.850194	0.5937411	154354973	PHACTR2	phosphatase and actin regulator 2
ILMN_1683533	0.003356	2.01e-05	5.160548	2.849844	0.4941158	213688412	CCDC66	coiled-coil domain containing 66
ILMN_1679826	0.003356	2.03e-05	-5.157457	2.842142	-1.3427732	262263313	CST7	cystatin F
ILMN_1689007	0.003356	2.03e-05	5.157423	2.842058	0.598621	1012443717	SUGP2	SURP and G-patch domain containing 2
ILMN_1796497	0.003399	2.07e-05	-5.149829	2.823134	-0.5700123	195947410	IPCEF1	interaction protein for cytohesin exchange factors 1
ILMN_1677138	0.003414	2.10e-05	5.143896	2.808346	0.4332842	NA		
ILMN_1790891	0.003414	2.11e-05	-5.142669	2.805287	-0.7230575	219842270	CKAP4	cytoskeleton associated protein 4
ILMN_1812552	0.00344	2.15e-05	5.134992	2.786152	0.8958107	665821196	ACER3	alkaline ceramidase 3
ILMN_1781010	0.00344	2.17e-05	5.132471	2.779869	0.6272518	190885489	ARHGEF3	Rho guanine nucleotide exchange factor 3
ILMN_1810228	0.00344	2.17e-05	5.131807	2.778214	0.5746024	40807470	TTF2	transcription termination factor 2
ILMN_1672006	0.003449	2.19e-05	5.128151	2.769101	0.5137831	357430791	SSB	Sjogren syndrome antigen B
ILMN_1664795	0.003515	2.25e-05	-5.117829	2.743367	-0.3855447	323362996	MOB4	MOB family member 4, phocein
ILMN_1657475	0.003515	2.29e-05	5.112605	2.730342	0.592817	385251402	GALT	galactose-1-phosphate uridylyltransferase
ILMN_1775376	0.003515	2.29e-05	5.111856	2.728475	0.3940655	87042274	EPB41L4A	erythrocyte membrane protein band 4.1 like 4A
ILMN_1720024	0.003515	2.33e-05	5.105155	2.711766	0.357121	NA		
ILMN_1768127	0.003515	2.34e-05	5.104498	2.710128	0.5351945	237649014	EBNA1BP2	EBNA1 binding protein 2
ILMN_1800425	0.003515	2.34e-05	5.104408	2.709905	0.5358756	381214343	SLC9A1	solute carrier family 9 member A1
ILMN_1674243	0.003515	2.35e-05	5.102937	2.706236	0.8316923	927928762	TFRC	transferrin receptor
ILMN_1794264	0.003517	2.36e-05	-5.100233	2.699493	-0.3526595	NA		
ILMN_1679483	0.003586	2.44e-05	5.088234	2.669569	0.5048828	83582808	INTS10	integrator complex subunit 10
ILMN_1772489	0.003586	2.45e-05	5.086205	2.664509	0.5649818	1042705568	NEMF	nuclear export mediator factor
ILMN_1727134	0.003586	2.47e-05	5.083769	2.658434	0.5988278	55749725	KLHL42	kelch like family member 42
ILMN_1698404	0.003586	2.47e-05	-5.083118	2.65681	-1.0570388	NA		
ILMN_1727184	0.003675	2.55e-05	5.07147	2.627759	0.6159184	71164895	WDR36	WD repeat domain 36
ILMN_1803810	0.003732	2.62e-05	5.061109	2.601913	0.4965203	110611219	RRBP1	ribosome binding protein 1
ILMN_1775822	0.003732	2.62e-05	-5.060949	2.601513	-0.6258968	939106608	PDGFB	platelet derived growth factor subunit B
ILMN_1669196	0.003767	2.67e-05	5.055121	2.586974	0.6358028	1007374729	TMEM94	transmembrane protein 94
ILMN_1696043	0.003783	2.72e-05	5.047462	2.567866	0.7932991	190341090	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2
ILMN_1701877	0.003783	2.76e-05	5.041647	2.553359	0.7802889	520260376	AXL	AXL receptor tyrosine kinase
ILMN_1715418	0.003783	2.77e-05	-5.040602	2.55075	-0.5796623	74027273	ZNF226	zinc finger protein 226
ILMN_1657064	0.003783	2.79e-05	5.038654	2.54589	0.7144029	512388690	ERMARD	ER membrane associated RNA degradation
ILMN_1679267	0.003783	2.79e-05	-5.038294	2.544991	-1.1452111	1020158890	TGM2	transglutaminase 2
ILMN_1662587	0.003783	2.79e-05	5.037684	2.543471	1.1410321	614458144	PNPLA7	patatin like phospholipase domain containing 7
ILMN_1762115	0.003783	2.80e-05	5.037214	2.542297	0.4748212	90669510	CRYZL1	crystallin zeta like 1
ILMN_1735224	0.003807	2.85e-05	-5.030336	2.525137	-1.1726317	1005261238	INPP5A	inositol polyphosphate-5-phosphatase A
ILMN_1723177	0.003807	2.85e-05	5.030318	2.525091	0.436552	213385321	ANAPC5	anaphase promoting complex subunit 5
ILMN_1655229	0.003992	3.01e-05	-5.009905	2.474151	-1.1523632	80861465	SLC7A11	solute carrier family 7 member 11
ILMN_1684031	0.003992	3.02e-05	5.008134	2.469731	0.5519148	365733630	MYO1A	myosin IA
ILMN_1784292	0.003992	3.07e-05	5.002057	2.454563	0.6290627	296434288	ANKMY2	ankyrin repeat and MYND domain containing 2
ILMN_1713542	0.003992	3.09e-05	4.999912	2.44921	0.5297262	539847842	TRIM14	tripartite motif containing 14
ILMN_1670325	0.003992	3.11e-05	4.99709	2.442167	1.2911704	22907059	SLC47A1	solute carrier family 47 member 1
ILMN_1810289	0.003992	3.12e-05	4.996731	2.441273	0.7730526	215422327	MYOF	myoferlin
ILMN_1805992	0.003992	3.12e-05	4.996173	2.43988	0.7262053	385198091	SHTN1	shootin 1
ILMN_1763638	0.003992	3.13e-05	4.995057	2.437095	0.7117625	387157907	BCAR3	breast cancer anti-estrogen resistance 3
ILMN_1749009	0.004007	3.16e-05	4.99152	2.428266	0.5685392	224496105	REXO2	RNA exonuclease 2
ILMN_1676159	0.004015	3.19e-05	-4.987596	2.418472	-0.5481796	109633025	STK26	serine/threonine protein kinase 26
ILMN_1670130	0.004015	3.20e-05	-4.986503	2.415742	-0.8433643	118026938	ARID3A	AT-rich interaction domain 3A
ILMN_1693998	0.004027	3.23e-05	4.98312	2.4073	0.5947578	339409188	SNX1	sorting nexin 1
ILMN_1768867	0.004027	3.28e-05	4.978234	2.395103	0.3777394	419636270	AP3B1	adaptor related protein complex 3 beta 1 subunit
ILMN_1800225	0.004027	3.28e-05	4.977828	2.394089	0.8990434	116284372	PPARG	peroxisome proliferator activated receptor gamma
ILMN_1790253	0.004027	3.29e-05	-4.977098	2.392267	-0.5156421	527122125	TRIM73	tripartite motif containing 73
ILMN_1654289	0.004027	3.30e-05	-4.975053	2.387162	-0.3881077	380422414	ELK1	ELK1, ETS transcription factor
ILMN_1703697	0.004041	3.33e-05	4.971701	2.378796	0.6498918	212276218	LANCL1	LanC like 1
ILMN_1729594	0.004058	3.37e-05	-4.968055	2.369693	-0.5613004	170671735	SLC19A2	solute carrier family 19 member 2
ILMN_1659843	0.004064	3.39e-05	-4.965549	2.363439	-0.5905211	300192905	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3
ILMN_1758412	0.004077	3.42e-05	4.962354	2.355463	0.3984398	589908400	COPS7A	COP9 signalosome subunit 7A
ILMN_1753819	0.004097	3.45e-05	-4.95848	2.345792	-0.5558092	62865648	RFFL	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase
ILMN_1658639	0.004139	3.52e-05	4.951244	2.327727	0.9398685	209571534	SLC46A3	solute carrier family 46 member 3
ILMN_1727309	0.004139	3.54e-05	4.949334	2.32296	1.0539872	756141010	RMDN3	regulator of microtubule dynamics 3
ILMN_1798061	0.004139	3.54e-05	4.94879	2.3216	0.7177008	198041764	ZFYVE26	zinc finger FYVE-type containing 26
ILMN_1728799	0.004223	3.64e-05	4.939261	2.297813	0.721341	160298191	FBP1	fructose-bisphosphatase 1
ILMN_1800187	0.004234	3.66e-05	4.936377	2.290612	1.139485	109148505	MSR1	macrophage scavenger receptor 1
ILMN_1679970	0.004237	3.69e-05	4.933815	2.284214	0.2604794	312222700	STPG1	sperm tail PG-rich repeat containing 1
ILMN_1705594	0.004237	3.73e-05	4.930196	2.275179	0.5446048	221316722	NAT10	N-acetyltransferase 10
ILMN_1764361	0.004237	3.73e-05	-4.929334	2.273028	-0.6814048	295849296	DUSP16	dual specificity phosphatase 16
ILMN_1669252	0.004237	3.75e-05	4.927302	2.267955	0.4684408	311771635	CUL2	cullin 2
ILMN_1665943	0.004237	3.77e-05	4.925963	2.264612	0.7014303	558472826	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
ILMN_1749591	0.004237	3.78e-05	4.924628	2.261278	0.7246461	167466214	ITGAL	integrin subunit alpha L
ILMN_1744240	0.004249	3.82e-05	4.92056	2.25112	0.6378891	223005858	TBC1D31	TBC1 domain family member 31
ILMN_1709032	0.004249	3.83e-05	4.919814	2.249258	0.5585182	364502962	FYCO1	FYVE and coiled-coil domain containing 1
ILMN_1727558	0.004296	3.89e-05	4.913852	2.234374	0.3315558	NA		
ILMN_1808683	0.00432	3.94e-05	-4.909415	2.223295	-0.1547141	52627152	OR4A16	olfactory receptor family 4 subfamily A member 16
ILMN_1730622	0.00432	3.97e-05	4.906248	2.215386	1.0144354	50726984	EVL	Enah/Vasp-like
ILMN_1772713	0.00432	3.97e-05	4.906245	2.215379	0.4805143	224589070	BMS1	BMS1, ribosome biogenesis factor
ILMN_1689329	0.004351	4.02e-05	4.901753	2.204164	0.8969117	53759150	SCD	stearoyl-CoA desaturase
ILMN_1784785	0.004456	4.14e-05	4.891078	2.177509	0.2788725	817474284	COPS7B	COP9 signalosome subunit 7B
ILMN_1749345	0.00448	4.19e-05	-4.88662	2.166378	-0.3280255	347658917	STX5	syntaxin 5
ILMN_1681802	0.00448	4.20e-05	-4.885351	2.163211	-0.6698133	153266933	GRK6	G protein-coupled receptor kinase 6
ILMN_1709044	0.00448	4.22e-05	-4.883698	2.159082	-0.6668229	313747515	TGIF2	TGFB induced factor homeobox 2
ILMN_1780988	0.004491	4.25e-05	-4.880925	2.152159	-0.2775532	333609273	FIGNL2	fidgetin like 2
ILMN_1800401	0.004491	4.29e-05	4.877549	2.143727	0.2694228	1007379436	ZNF69	zinc finger protein 69
ILMN_1767612	0.004491	4.29e-05	4.877439	2.143454	0.9915112	219842318	BBS2	Bardet-Biedl syndrome 2
ILMN_1663037	0.004498	4.32e-05	-4.875096	2.137604	-0.5150024	385724810	LRRC4C	leucine rich repeat containing 4C
ILMN_1802203	0.00452	4.38e-05	-4.869701	2.124131	-0.2806328	66879661	ARF1	ADP ribosylation factor 1
ILMN_1793729	0.00452	4.41e-05	-4.867439	2.118484	-1.285308	153251858	C15orf39	chromosome 15 open reading frame 39
ILMN_1742789	0.00452	4.41e-05	4.866975	2.117325	0.5235896	221316657	LPXN	leupaxin
ILMN_1698728	0.00452	4.44e-05	-4.864772	2.111826	-0.6668819	751247054	FGD4	FYVE, RhoGEF and PH domain containing 4
ILMN_1681118	0.00452	4.44e-05	4.864652	2.111526	0.5304973	574957124	CAPRIN2	caprin family member 2
ILMN_1770227	0.004525	4.47e-05	-4.862532	2.106232	-0.3530508	94721249	VAPA	VAMP associated protein A
ILMN_1771815	0.004563	4.56e-05	-4.854481	2.086129	-0.422086	545687803	RTFDC1	replication termination factor 2 domain containing 1
ILMN_1758939	0.004563	4.59e-05	-4.852283	2.08064	-0.8371744	93141034	RIPK2	receptor interacting serine/threonine kinase 2
ILMN_1728937	0.004563	4.60e-05	-4.851924	2.079743	-1.2867809	56790928	CXCR4	C-X-C motif chemokine receptor 4
ILMN_1714418	0.004563	4.62e-05	-4.849889	2.074661	-1.3386522	116256467	FAM101B	family with sequence similarity 101 member B
ILMN_1796458	0.004563	4.68e-05	-4.84539	2.063427	-0.7038007	27374999	GABARAPL2	GABA type A receptor associated protein like 2
ILMN_1667043	0.004563	4.68e-05	-4.84527	2.063129	-0.3338257	288915541	EIF4A3	eukaryotic translation initiation factor 4A3
