ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
11129	4.05e-08	2.16e-11	7.73	15.41319	6.85e-01	CASP9	caspase 9
17913	6.37e-08	3.54e-11	7.63	14.95311	3.82e-01	LYSMD4	LysM domain containing 4
5374	6.72e-08	3.88e-11	7.61	14.86818	9.67e-01		
42752	1.17e-07	7.02e-11	7.48	14.31642	7.43e-01	FOSL2	FOS like 2, AP-1 transcription factor subunit
25836	1.18e-07	7.31e-11	7.47	14.2783	4.27e-01	ERICH1	glutamate rich 1
5058	1.50e-07	9.66e-11	7.41	14.01908	6.34e-01	USP36	ubiquitin specific peptidase 36
13877	1.54e-07	1.04e-10	7.39	13.94861	7.45e-01	NAMPT	nicotinamide phosphoribosyltransferase
41701	1.54e-07	1.06e-10	7.38	13.93133	6.09e-01	FOSL2	FOS like 2, AP-1 transcription factor subunit
24277	1.55e-07	1.10e-10	7.38	13.89912	1.08	CREM	cAMP responsive element modulator
39031	1.92e-07	1.43e-10	7.32	13.65408	1.02		
19868	1.92e-07	1.45e-10	7.32	13.64194	8.12e-01	FOSL2	FOS like 2, AP-1 transcription factor subunit
22747	2.91e-07	2.26e-10	7.22	13.22819	8.04e-01	MXD1	MAX dimerization protein 1
6119	4.52e-07	3.63e-10	7.11	12.78769	4.96e-01	ARID3B	AT-rich interaction domain 3B
23017	4.52e-07	3.71e-10	7.11	12.76559	2.53e-01	RABGEF1	RAB guanine nucleotide exchange factor 1
3375	5.13e-07	4.33e-10	7.07	12.62323	6.22e-01	LDLRAD4	low density lipoprotein receptor class A domain containing 4
23751	5.88e-07	5.09e-10	7.04	12.47183	8.82e-01	HBEGF	heparin binding EGF like growth factor
22423	9.10e-07	8.08e-10	6.93	12.04116	5.73e-01		
28212	9.54e-07	8.69e-10	6.92	11.97402	4.05e-01	TGIF1	TGFB induced factor homeobox 1
25612	1.02e-06	9.53e-10	6.90	11.88754	4.54e-01	LPCAT1	lysophosphatidylcholine acyltransferase 1
40382	1.02e-06	9.76e-10	6.89	11.86509	2.61e-01	FAM53C	family with sequence similarity 53 member C
1989	1.09e-06	1.07e-09	6.87	11.78009	5.79e-01	SESN2	sestrin 2
33971	1.10e-06	1.11e-09	6.86	11.74565	1.04	IFRD1	interferon related developmental regulator 1
13894	1.10e-06	1.12e-09	6.86	11.73386	1.08	IFRD1	interferon related developmental regulator 1
15759	1.24e-06	1.30e-09	6.83	11.60001	3.95e-01	SH3TC1	SH3 domain and tetratricopeptide repeats 1
25122	1.28e-06	1.36e-09	6.82	11.55621	1.21	CREM	cAMP responsive element modulator
32418	1.52e-06	1.65e-09	6.78	11.37626	9.66e-01	ERRFI1	ERBB receptor feedback inhibitor 1
11239	1.85e-06	2.06e-09	6.73	11.17153	5.44e-01	LOC401317	uncharacterized LOC401317
25892	2.21e-06	2.51e-09	6.68	10.98491	2.61e-01	RABGEF1	RAB guanine nucleotide exchange factor 1
16248	2.21e-06	2.55e-09	6.68	10.97075	5.09e-01	MXD1	MAX dimerization protein 1
19842	2.37e-06	2.79e-09	6.66	10.88779	8.35e-01	FOSL2	FOS like 2, AP-1 transcription factor subunit
4193	2.49e-06	2.99e-09	6.64	10.82413	2.88e-01	TNFRSF10B	TNF receptor superfamily member 10b
26876	2.60e-06	3.18e-09	6.63	10.76638	4.39e-01	PLAUR	plasminogen activator, urokinase receptor
7565	2.87e-06	3.58e-09	6.60	10.65532	6.08e-01		
19656	2.87e-06	3.64e-09	6.60	10.63936	8.26e-01	SLC2A14	solute carrier family 2 member 14
34902	2.91e-06	3.74e-09	6.59	10.61302	4.47e-01	ID3	inhibitor of DNA binding 3, HLH protein
30515	3.15e-06	4.13e-09	-6.57	10.52177	-7.95e-01	KCNJ2	potassium voltage-gated channel subfamily J member 2
35925	3.54e-06	4.72e-09	6.54	10.3973	4.95e-01	AVPI1	arginine vasopressin induced 1
19466	3.74e-06	5.06e-09	6.52	10.33164	9.26e-01	PLK2	polo like kinase 2
5655	3.85e-06	5.30e-09	6.51	10.28872	8.08e-01	NFIL3	nuclear factor, interleukin 3 regulated
33195	4.72e-06	6.61e-09	6.46	10.08317	4.19e-01	METRNL	meteorin like, glial cell differentiation regulator
21427	5.27e-06	7.50e-09	6.43	9.96607	3.85e-01	GNA13	G protein subunit alpha 13
7871	6.81e-06	9.84e-09	6.37	9.7132	3.46e-01	BTG3	BTG anti-proliferation factor 3
16253	7.28e-06	1.07e-08	-6.35	9.63698	-4.90e-01	CDC42EP3	CDC42 effector protein 3
41014	7.68e-06	1.14e-08	6.34	9.57328	6.36e-01	SLC2A3	solute carrier family 2 member 3
31272	8.07e-06	1.22e-08	6.32	9.51332	3.06e-01	RABGEF1	RAB guanine nucleotide exchange factor 1
20955	8.20e-06	1.26e-08	6.32	9.48448	7.60e-01	ERRFI1	ERBB receptor feedback inhibitor 1
38469	9.43e-06	1.47e-08	-6.28	9.34135	-8.40e-01	DUSP6	dual specificity phosphatase 6
20872	1.05e-05	1.66e-08	6.25	9.22537	2.63e-01	SLC25A28	solute carrier family 25 member 28
22638	1.05e-05	1.70e-08	-6.25	9.20626	-6.82e-01	GADD45B	growth arrest and DNA damage inducible beta
27152	1.05e-05	1.70e-08	6.25	9.2008	3.24e-01		
30808	1.08e-05	1.78e-08	6.24	9.16109	3.81e-01	BEST1	bestrophin 1
17173	1.16e-05	1.93e-08	6.22	9.08681	5.55e-01	RAB20	RAB20, member RAS oncogene family
5098	1.29e-05	2.17e-08	6.19	8.97448	8.32e-01	NR4A2	nuclear receptor subfamily 4 group A member 2
6536	1.43e-05	2.45e-08	6.16	8.8647	4.74e-01		
1492	1.58e-05	2.74e-08	6.14	8.76005	8.80e-01	PDE4B	phosphodiesterase 4B
10231	1.97e-05	3.45e-08	-6.08	8.54362	-4.61e-01	ID2	inhibitor of DNA binding 2, HLH protein
6268	2.07e-05	3.68e-08	-6.07	8.4855	-3.57e-01	RASGEF1B	RasGEF domain family member 1B
22352	2.22e-05	4.00e-08	6.05	8.40699	3.99e-01	GNA13	G protein subunit alpha 13
33317	2.36e-05	4.30e-08	6.03	8.34013	6.87e-01		
17628	2.36e-05	4.34e-08	6.03	8.33015	8.19e-01	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
28702	2.44e-05	4.55e-08	6.02	8.2858	4.08e-01	TMEM88	transmembrane protein 88
2200	2.45e-05	4.63e-08	6.01	8.27144	3.43e-01	FAM102B	family with sequence similarity 102 member B
22166	2.81e-05	5.41e-08	-5.98	8.12475	-6.71e-01	GADD45B	growth arrest and DNA damage inducible beta
43135	2.81e-05	5.43e-08	5.98	8.12289	7.98e-01	HBEGF	heparin binding EGF like growth factor
18463	3.03e-05	5.92e-08	5.96	8.04092	5.66e-01	BCL3	B-cell CLL/lymphoma 3
35109	3.16e-05	6.25e-08	-5.94	7.99094	-3.39e-01	ZNF217	zinc finger protein 217
10496	3.46e-05	6.91e-08	5.92	7.89725	4.83e-01	LDLRAD4	low density lipoprotein receptor class A domain containing 4
5075	4.60e-05	9.29e-08	-5.85	7.62229	-4.97e-01	ID2	inhibitor of DNA binding 2, HLH protein
32137	5.20e-05	1.06e-07	5.82	7.49646	2.98e-01	OXSR1	oxidative stress responsive 1
33261	5.73e-05	1.18e-07	-5.79	7.39708	-6.18e-01	MAFB	MAF bZIP transcription factor B
36413	5.86e-05	1.22e-07	5.79	7.36533	3.43e-01	URB2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
34974	6.38e-05	1.35e-07	5.76	7.27732	4.94e-01	GPR157	G protein-coupled receptor 157
7685	8.40e-05	1.79e-07	5.70	7.01163	7.47e-01	SIK1	salt inducible kinase 1
30221	8.71e-05	1.89e-07	-5.68	6.96273	-5.04e-01	CDC42EP3	CDC42 effector protein 3
6174	8.71e-05	1.90e-07	5.68	6.95866	3.87e-01	GABARAPL1	GABA type A receptor associated protein like 1
21725	8.79e-05	1.95e-07	-5.68	6.93393	-6.10e-01	PIM1	Pim-1 proto-oncogene, serine/threonine kinase
3584	8.79e-05	1.95e-07	5.68	6.93092	6.25e-01	KAZALD1	Kazal type serine peptidase inhibitor domain 1
12532	9.60e-05	2.15e-07	5.65	6.83983	6.77e-01	ERRFI1	ERBB receptor feedback inhibitor 1
22768	9.87e-05	2.24e-07	5.64	6.80489	4.41e-01	PNRC1	proline rich nuclear receptor coactivator 1
3201	1.07e-04	2.44e-07	5.62	6.72327	4.17e-01	ATP1B3	ATPase Na+/K+ transporting subunit beta 3
42892	1.13e-04	2.62e-07	-5.61	6.65889	-7.81e-01	SH3PXD2B	SH3 and PX domains 2B
5330	1.13e-04	2.65e-07	5.60	6.64826	3.21e-01	NFKBID	NFKB inhibitor delta
13686	1.15e-04	2.70e-07	5.60	6.62886	3.43e-01	REL	REL proto-oncogene, NF-kB subunit
42119	1.17e-04	2.79e-07	5.59	6.59947	2.49e-01	AARS2	alanyl-tRNA synthetase 2, mitochondrial
20049	1.25e-04	3.01e-07	-5.57	6.52984	-3.96e-01	KLF6	Kruppel like factor 6
23152	1.26e-04	3.05e-07	5.57	6.51774	3.20e-01		
34665	1.26e-04	3.07e-07	5.57	6.51069	3.85e-01	RASSF5	Ras association domain family member 5
3658	1.46e-04	3.60e-07	5.53	6.36246	2.16e-01	GTPBP1	GTP binding protein 1
3953	1.54e-04	3.85e-07	5.51	6.29886	4.25e-01		
36499	1.54e-04	3.87e-07	5.51	6.29595	5.90e-01	LOC100129397	uncharacterized LOC100129397
32775	1.57e-04	3.97e-07	-5.51	6.27083	-2.90e-01	NCK1	NCK adaptor protein 1
5312	1.69e-04	4.31e-07	5.49	6.19566	3.70e-01		
18893	1.77e-04	4.56e-07	5.47	6.14255	3.52e-01	ZBTB1	zinc finger and BTB domain containing 1
5960	1.87e-04	4.85e-07	5.46	6.08466	2.29e-01	ACOT9	acyl-CoA thioesterase 9
28618	1.88e-04	4.94e-07	5.45	6.06842	5.41e-01	PDE2A	phosphodiesterase 2A
5574	1.93e-04	5.10e-07	5.45	6.03902	3.98e-01	USP36	ubiquitin specific peptidase 36
38136	2.14e-04	5.69e-07	-5.42	5.93641	-3.58e-01	BBC3	BCL2 binding component 3
8108	2.19e-04	5.88e-07	5.41	5.90693	3.68e-01	DBR1	debranching RNA lariats 1
4385	2.28e-04	6.19e-07	5.40	5.85893	3.79e-01		
10398	2.29e-04	6.26e-07	5.40	5.84753	4.91e-01		
20143	2.61e-04	7.19e-07	5.36	5.71976	3.27e-01	NOCT	nocturnin
13575	2.66e-04	7.38e-07	5.36	5.69571	4.45e-01		
33867	2.67e-04	7.47e-07	5.35	5.6838	4.40e-01	LRP5L	LDL receptor related protein 5 like
2594	2.69e-04	7.58e-07	5.35	5.67115	5.00e-01		
11195	2.77e-04	7.87e-07	5.34	5.63561	5.36e-01		
39608	2.78e-04	7.97e-07	5.34	5.6237	4.16e-01	PPP1R3B	protein phosphatase 1 regulatory subunit 3B
24611	2.98e-04	8.61e-07	5.32	5.55242	4.85e-01		
16828	3.01e-04	8.76e-07	5.32	5.53651	3.62e-01	GABARAPL1	GABA type A receptor associated protein like 1
2025	3.03e-04	8.88e-07	5.31	5.5232	5.62e-01	C5AR1	complement component 5a receptor 1
24029	3.24e-04	9.58e-07	5.29	5.45331	1.28	OSM	oncostatin M
31412	3.25e-04	9.68e-07	-5.29	5.44336	-5.52e-01	KLF9	Kruppel like factor 9
3058	3.33e-04	9.99e-07	5.28	5.41392	2.83e-01	RPH3A	rabphilin 3A
15472	3.59e-04	1.08e-06	5.26	5.3379	6.27e-01	DOCK10	dedicator of cytokinesis 10
23349	3.63e-04	1.10e-06	5.26	5.32069	6.49e-01		
31341	3.72e-04	1.15e-06	5.25	5.28751	5.22e-01	NAMPT	nicotinamide phosphoribosyltransferase
1811	3.72e-04	1.15e-06	5.25	5.28345	3.18e-01	FAM53C	family with sequence similarity 53 member C
15681	3.81e-04	1.18e-06	5.24	5.25657	3.56e-01	JOSD1	Josephin domain containing 1
2712	3.82e-04	1.20e-06	5.24	5.24715	2.54e-01	FAM131A	family with sequence similarity 131 member A
43679	3.83e-04	1.21e-06	5.24	5.23845	2.48e-01	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
42318	4.05e-04	1.29e-06	-5.22	5.17899	-6.29e-01	PDK4	pyruvate dehydrogenase kinase 4
11242	4.06e-04	1.30e-06	5.22	5.16761	5.51e-01	ZBTB1	zinc finger and BTB domain containing 1
29451	4.06e-04	1.31e-06	5.22	5.16349	3.32e-01	ALPK1	alpha kinase 1
5514	4.10e-04	1.33e-06	5.21	5.1492	3.97e-01	STX4	syntaxin 4
26372	4.70e-04	1.54e-06	-5.18	5.01565	-6.56e-01	TNS1	tensin 1
14519	5.49e-04	1.81e-06	5.14	4.86505	8.95e-01	CXADR	coxsackie virus and adenovirus receptor
37101	5.50e-04	1.82e-06	5.14	4.85701	3.79e-01	IL4R	interleukin 4 receptor
12810	5.65e-04	1.88e-06	5.13	4.82688	6.21e-01		
1253	5.82e-04	1.95e-06	5.12	4.79339	4.56e-01		
13584	5.86e-04	1.98e-06	5.11	4.77967	2.20e-01	ZNF250	zinc finger protein 250
23999	5.97e-04	2.03e-06	5.11	4.75699	5.45e-01	PDE4B	phosphodiesterase 4B
18127	6.16e-04	2.11e-06	5.10	4.72191	6.93e-01		
17129	7.07e-04	2.43e-06	5.06	4.58794	5.36e-01		
23122	7.09e-04	2.46e-06	5.06	4.57684	3.74e-01	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1
21610	7.09e-04	2.48e-06	5.06	4.57065	4.92e-01	ZNF503	zinc finger protein 503
37259	7.09e-04	2.49e-06	-5.06	4.5672	-3.47e-01	C5orf30	chromosome 5 open reading frame 30
43137	7.76e-04	2.74e-06	5.03	4.47807	2.83e-01	ALPK1	alpha kinase 1
15459	7.76e-04	2.76e-06	5.03	4.47222	2.62e-01	ZBTB25	zinc finger and BTB domain containing 25
29126	7.97e-04	2.85e-06	-5.02	4.44173	-3.91e-01	TNS1	tensin 1
12286	8.25e-04	2.97e-06	5.01	4.40424	6.49e-01	EREG	epiregulin
14614	8.26e-04	2.99e-06	5.01	4.3972	9.07e-01	ACKR3	atypical chemokine receptor 3
34837	8.27e-04	3.01e-06	5.01	4.39108	5.42e-01	THBD	thrombomodulin
7878	8.30e-04	3.04e-06	5.01	4.38139	4.00e-01	AKAP5	A-kinase anchoring protein 5
20401	8.32e-04	3.07e-06	5.00	4.37229	1.91e-01	DSTYK	dual serine/threonine and tyrosine protein kinase
6713	8.32e-04	3.09e-06	-5.00	4.36769	-4.01e-01	TNS1	tensin 1
36134	8.45e-04	3.15e-06	5.00	4.3481	3.44e-01		
22082	8.91e-04	3.36e-06	4.98	4.28978	3.57e-01	GPR157	G protein-coupled receptor 157
16760	8.91e-04	3.38e-06	4.98	4.28482	3.55e-01	C5AR1	complement component 5a receptor 1
3779	8.91e-04	3.39e-06	4.98	4.28247	2.55e-01	SRA1	steroid receptor RNA activator 1
18027	9.08e-04	3.47e-06	4.97	4.25955	4.67e-01	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
16291	9.52e-04	3.66e-06	4.96	4.21081	5.60e-01		
30885	9.58e-04	3.70e-06	-4.96	4.19926	-7.29e-01	ZBTB16	zinc finger and BTB domain containing 16
36321	9.71e-04	3.78e-06	-4.95	4.18162	-5.12e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
25811	1.03e-03	4.01e-06	4.94	4.12641	5.82e-01	VEGFA	vascular endothelial growth factor A
9905	1.05e-03	4.14e-06	4.93	4.09673	3.88e-01	ENOSF1	enolase superfamily member 1
3818	1.07e-03	4.24e-06	4.92	4.07376	2.74e-01		
3125	1.11e-03	4.40e-06	4.91	4.03943	2.84e-01		
22396	1.11e-03	4.45e-06	4.91	4.02854	2.34e-01	RIPK2	receptor interacting serine/threonine kinase 2
35411	1.21e-03	4.85e-06	-4.89	3.94992	-2.73e-01		
44464	1.21e-03	4.90e-06	-4.89	3.94103	-5.00e-01	TFPI	tissue factor pathway inhibitor
389	1.22e-03	4.95e-06	4.88	3.93035	3.28e-01	MALT1	MALT1 paracaspase
25856	1.22e-03	4.99e-06	4.88	3.92297	2.65e-01		
6215	1.22e-03	5.02e-06	4.88	3.9178	4.65e-01	OLR1	oxidized low density lipoprotein receptor 1
11411	1.22e-03	5.06e-06	-4.88	3.91126	-1.74e-01	DUSP7	dual specificity phosphatase 7
6905	1.24e-03	5.14e-06	4.88	3.89685	7.55e-01	C8A	complement component 8 alpha subunit
43751	1.35e-03	5.65e-06	4.85	3.80922	2.13e-01	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1
38404	1.35e-03	5.66e-06	4.85	3.80718	4.11e-01	LSMEM1	leucine rich single-pass membrane protein 1
21941	1.38e-03	5.81e-06	4.84	3.78246	1.78e-01	PRPF4	pre-mRNA processing factor 4
36615	1.39e-03	5.88e-06	4.84	3.77096	4.78e-01	GADD45A	growth arrest and DNA damage inducible alpha
12371	1.39e-03	5.93e-06	4.84	3.76378	2.48e-01	ZNF276	zinc finger protein 276
22299	1.39e-03	5.96e-06	-4.84	3.75998	-3.09e-01	TNS1	tensin 1
36456	1.59e-03	6.84e-06	4.80	3.63223	5.25e-01	NAMPT	nicotinamide phosphoribosyltransferase
23512	1.62e-03	7.01e-06	4.80	3.60975	4.33e-01		
9400	1.70e-03	7.42e-06	4.78	3.55622	2.75e-01		
30434	1.76e-03	7.68e-06	4.77	3.52469	3.03e-01	VRK2	vaccinia related kinase 2
21708	1.83e-03	8.07e-06	4.76	3.47904	2.15e-01	LOC401317	uncharacterized LOC401317
38508	1.86e-03	8.21e-06	4.76	3.46305	3.68e-01	KIAA1147	KIAA1147
39735	1.87e-03	8.33e-06	-4.75	3.44972	-4.88e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
31029	1.92e-03	8.55e-06	4.74	3.42543	3.45e-01	CYTH3	cytohesin 3
33192	1.98e-03	8.91e-06	-4.73	3.38728	-1.68e-01	ZNF845	zinc finger protein 845
39492	1.98e-03	8.93e-06	-4.73	3.38558	-4.06e-01	FGR	FGR proto-oncogene, Src family tyrosine kinase
41800	2.01e-03	9.12e-06	-4.73	3.36561	-2.75e-01	TLR4	toll like receptor 4
17787	2.07e-03	9.44e-06	4.72	3.33423	2.12e-01	SOGA1	suppressor of glucose, autophagy associated 1
27128	2.08e-03	9.52e-06	-4.72	3.32638	-3.46e-01	FGR	FGR proto-oncogene, Src family tyrosine kinase
22743	2.19e-03	1.01e-05	4.70	3.27239	3.10e-01	PLEK	pleckstrin
11764	2.23e-03	1.03e-05	4.70	3.25432	4.03e-01	NABP1	nucleic acid binding protein 1
23957	2.23e-03	1.04e-05	4.70	3.24889	3.30e-01	TP53INP2	tumor protein p53 inducible nuclear protein 2
36010	2.23e-03	1.04e-05	-4.69	3.24397	-2.16e-01	NFYB	nuclear transcription factor Y subunit beta
12399	2.25e-03	1.05e-05	4.69	3.23245	1.85e-01	ACOT9	acyl-CoA thioesterase 9
18402	2.25e-03	1.06e-05	4.69	3.22799	2.70e-01	PRMT9	protein arginine methyltransferase 9
39848	2.36e-03	1.11e-05	4.68	3.18083	7.42e-01	OPRK1	opioid receptor kappa 1
24286	2.39e-03	1.14e-05	4.67	3.16353	8.70e-01		
27120	2.47e-03	1.18e-05	4.66	3.12812	3.69e-01	VEGFA	vascular endothelial growth factor A
18377	2.49e-03	1.19e-05	4.66	3.11763	2.68e-01	RARA-AS1	RARA antisense RNA 1
19017	2.52e-03	1.21e-05	-4.65	3.10275	-3.48e-01	KLF4	Kruppel like factor 4
7098	2.52e-03	1.22e-05	-4.65	3.09632	-4.76e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
496	2.53e-03	1.23e-05	4.65	3.09038	3.58e-01	FAM110B	family with sequence similarity 110 member B
15059	2.59e-03	1.27e-05	4.64	3.06323	2.50e-01		
26703	2.59e-03	1.27e-05	4.64	3.05836	2.58e-01	SWAP70	SWAP switching B-cell complex 70kDa subunit
27612	2.66e-03	1.32e-05	4.63	3.02613	3.59e-01	CPED1	cadherin like and PC-esterase domain containing 1
30558	2.66e-03	1.32e-05	4.63	3.02244	3.00e-01	SLA	Src-like-adaptor
29407	2.66e-03	1.33e-05	4.63	3.01997	3.38e-01	PLAU	plasminogen activator, urokinase
34309	2.66e-03	1.33e-05	-4.63	3.01743	-3.62e-01	FOXN2	forkhead box N2
1579	2.69e-03	1.35e-05	4.63	3.00281	3.79e-01	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
2158	2.77e-03	1.40e-05	4.62	2.96831	2.86e-01	PLAGL1	PLAG1 like zinc finger 1
8861	2.77e-03	1.41e-05	4.62	2.96622	3.42e-01	MAP3K8	mitogen-activated protein kinase kinase kinase 8
29529	2.77e-03	1.41e-05	-4.62	2.96495	-4.34e-01	TFCP2L1	transcription factor CP2-like 1
29839	2.82e-03	1.44e-05	-4.61	2.94371	-2.34e-01	PLEKHO2	pleckstrin homology domain containing O2
10292	2.88e-03	1.48e-05	4.60	2.91825	3.30e-01	PLPP1	phospholipid phosphatase 1
31156	2.88e-03	1.48e-05	-4.60	2.91743	-2.73e-01	TLR4	toll like receptor 4
7313	2.89e-03	1.49e-05	-4.60	2.9104	-4.68e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
37836	2.93e-03	1.52e-05	4.60	2.89332	7.02e-01	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
13487	2.93e-03	1.53e-05	4.59	2.88911	4.24e-01	PHF20	PHD finger protein 20
33039	2.93e-03	1.54e-05	-4.59	2.88216	-5.06e-01	FMN1	formin 1
22793	2.93e-03	1.55e-05	4.59	2.87849	5.41e-01		
5625	2.93e-03	1.56e-05	4.59	2.87234	2.37e-01		
28805	2.93e-03	1.56e-05	4.59	2.87023	3.94e-01	GK	glycerol kinase
36857	2.93e-03	1.56e-05	-4.59	2.86987	-2.79e-01	TLR4	toll like receptor 4
3310	2.98e-03	1.59e-05	4.58	2.8502	3.29e-01		
28754	3.13e-03	1.68e-05	4.57	2.79995	7.08e-01	CXADR	coxsackie virus and adenovirus receptor
12965	3.17e-03	1.71e-05	-4.56	2.78403	-5.46e-01		
28031	3.19e-03	1.73e-05	4.56	2.77594	3.27e-01	HRH1	histamine receptor H1
29154	3.19e-03	1.73e-05	-4.56	2.77269	-4.69e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
7935	3.27e-03	1.79e-05	4.55	2.7445	4.11e-01	NABP1	nucleic acid binding protein 1
19376	3.30e-03	1.81e-05	-4.55	2.73265	-4.64e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
17017	3.36e-03	1.86e-05	4.54	2.70912	3.75e-01		
31924	3.36e-03	1.86e-05	-4.54	2.70692	-2.72e-01	TLR4	toll like receptor 4
6084	3.36e-03	1.86e-05	-4.54	2.70636	-4.61e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
9355	3.37e-03	1.88e-05	-4.54	2.69885	-3.65e-01	KLF6	Kruppel like factor 6
20376	3.39e-03	1.90e-05	-4.54	2.68895	-4.91e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
19678	3.42e-03	1.92e-05	4.53	2.67861	2.25e-01	AFMID	arylformamidase
19568	3.48e-03	1.96e-05	-4.53	2.6578	-3.70e-01	P2RY13	purinergic receptor P2Y13
22356	3.49e-03	1.98e-05	4.53	2.65194	3.38e-01	PLAU	plasminogen activator, urokinase
12112	3.49e-03	1.98e-05	-4.53	2.6487	-2.93e-01	SNX10	sorting nexin 10
32977	3.51e-03	2.01e-05	4.52	2.6358	5.50e-01		
7075	3.51e-03	2.01e-05	4.52	2.63509	2.98e-01	JAML	junction adhesion molecule like
10449	3.62e-03	2.09e-05	4.51	2.60279	3.56e-01	LINC01094	long intergenic non-protein coding RNA 1094
38354	3.83e-03	2.21e-05	4.50	2.549	2.34e-01	COQ2	coenzyme Q2, polyprenyltransferase
21502	3.86e-03	2.24e-05	4.49	2.5372	1.98e-01	GZF1	GDNF inducible zinc finger protein 1
1926	3.94e-03	2.29e-05	-4.49	2.51551	-4.53e-01	PDK4	pyruvate dehydrogenase kinase 4
8659	3.99e-03	2.33e-05	4.48	2.501	3.49e-01	PLAU	plasminogen activator, urokinase
23447	3.99e-03	2.34e-05	4.48	2.49743	2.41e-01	CHMP1B	charged multivesicular body protein 1B
27846	4.03e-03	2.38e-05	-4.48	2.48234	-4.67e-01	MAP3K6	mitogen-activated protein kinase kinase kinase 6
14278	4.03e-03	2.38e-05	4.48	2.4813	3.39e-01	DZIP1L	DAZ interacting zinc finger protein 1 like
20485	4.04e-03	2.39e-05	4.48	2.47594	7.16e-01	RND3	Rho family GTPase 3
12926	4.11e-03	2.45e-05	4.47	2.45604	7.12e-01	RND3	Rho family GTPase 3
17993	4.11e-03	2.46e-05	4.47	2.45165	6.94e-01	EREG	epiregulin
21744	4.13e-03	2.47e-05	-4.47	2.44541	-4.81e-01	MYC	v-myc avian myelocytomatosis viral oncogene homolog
25893	4.24e-03	2.55e-05	4.46	2.41715	6.94e-01	ICOS	inducible T-cell costimulator
9546	4.37e-03	2.64e-05	-4.45	2.38624	-2.60e-01	TLR4	toll like receptor 4
10756	4.47e-03	2.71e-05	-4.44	2.36198	-1.65e-01	BMP7	bone morphogenetic protein 7
