GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
4951	3.13e-05	1.31e-07	1.272	5.276911	6.712232	36.51	OCM2	oncomodulin 2
6118	3.29e-05	1.43e-07	1.156	-5.261705	-6.082124	9.82	RPA2	replication protein A2
729967	3.34e-05	1.70e-07	1.223	-5.22944	-6.393577	14.57	MORN2	MORN repeat containing 2
26061	3.34e-05	1.59e-07	1.329	-5.242207	-6.966294	19.16	HACL1	2-hydroxyacyl-CoA lyase 1
4188	3.34e-05	1.60e-07	1.325	-5.241	-6.944109	25.36	MDFI	MyoD family inhibitor
4791	3.34e-05	1.71e-07	1.727	-5.228127	-9.027184	133.96	NFKB2	nuclear factor kappa B subunit 2
90196	3.34e-05	1.57e-07	1.215	-5.243937	-6.373403	15.21	SYS1	SYS1 golgi trafficking protein
9463	3.34e-05	1.67e-07	1.291	-5.232212	-6.752525	16.52	PICK1	protein interacting with PRKCA 1
56128	3.36e-05	1.76e-07	1.423	5.222691	7.431519	113.37	PCDHB8	protocadherin beta 8
65123	3.43e-05	1.85e-07	1.187	-5.214045	-6.186512	8.85	INTS3	integrator complex subunit 3
8289	3.70e-05	2.06e-07	1.223	-5.193706	-6.351655	15.27	ARID1A	AT-rich interaction domain 1A
51635	3.70e-05	2.09e-07	1.307	-5.19146	-6.786964	16.94	DHRS7	dehydrogenase/reductase 7
107984328	3.90e-05	2.25e-07	1.022	5.177025	5.29302	132.86	LOC107984328	uncharacterized LOC107984328
339400	4.19e-05	2.47e-07	0.646	5.15961	3.334749	14031.38	FLG-AS1	FLG antisense RNA 1
84769	4.20e-05	2.54e-07	1.335	-5.154822	-6.883994	14.51	MPV17L2	MPV17 mitochondrial inner membrane protein like 2
2312	4.30e-05	2.71e-07	0.646	5.142443	3.323497	14113.31	FLG	filaggrin
7587	4.30e-05	2.68e-07	1.013	5.144746	5.209633	361.25	ZNF37A	zinc finger protein 37A
6451	6.50e-05	4.18e-07	1.395	-5.060459	-7.057106	68.08	SH3BGRL	SH3 domain binding glutamate rich protein like
80157	6.86e-05	4.59e-07	1.345	-5.042693	-6.782415	25.37	CWH43	cell wall biogenesis 43 C-terminal homolog
23514	6.86e-05	4.56e-07	1.196	-5.043985	-6.030212	12.2	SPIDR	scaffold protein involved in DNA repair
55146	7.16e-05	4.97e-07	1.358	-5.027297	-6.826427	13.93	ZDHHC4	zinc finger DHHC-type palmitoyltransferase 4
23670	7.16e-05	4.98e-07	1.356	-5.027026	-6.816541	13.84	CEMIP2	cell migration inducing hyaluronidase 2
8880	7.97e-05	5.65e-07	1.299	-5.002875	-6.498674	17.66	FUBP1	far upstream element binding protein 1
388115	8.00e-05	5.78e-07	1.324	-4.998545	-6.616947	19.33	CCDC9B	coiled-coil domain containing 9B
140461	9.53e-05	7.00e-07	1.231	-4.961267	-6.104854	10.64	ASB8	ankyrin repeat and SOCS box containing 8
84328	1.15e-04	8.59e-07	1.322	-4.921562	-6.507009	31.14	LZIC	leucine zipper and CTNNBIP1 domain containing
8660	1.31e-04	9.95e-07	1.413	-4.8927	-6.911404	23.82	IRS2	insulin receptor substrate 2
79959	1.49e-04	1.16e-06	1.076	-4.862739	-5.233266	35.47	CEP76	centrosomal protein 76
81300	1.52e-04	1.19e-06	1.153	4.856562	5.599741	306.77	OR4P4	olfactory receptor family 4 subfamily P member 4
54497	1.53e-04	1.23e-06	1.527	-4.85139	-7.408157	26.22	HEATR5B	HEAT repeat containing 5B
124245	1.62e-04	1.32e-06	1.339	-4.837275	-6.477554	14.1	ZC3H18	zinc finger CCCH-type containing 18
84418	1.65e-04	1.36e-06	1.791	-4.830119	-8.652502	81.17	CYSTM1	cysteine rich transmembrane module containing 1
51528	1.78e-04	1.50e-06	1.495	-4.811341	-7.192525	22.59	JKAMP	JNK1/MAPK8 associated membrane protein
6782	1.96e-04	1.67e-06	1.304	-4.789874	-6.244331	12.51	HSPA13	heat shock protein family A (Hsp70) member 13
125170	2.08e-04	1.82e-06	1.056	-4.772775	-5.040194	4.75	MIEF2	mitochondrial elongation factor 2
57045	2.08e-04	1.83e-06	1.415	-4.771754	-6.752108	19.91	TWSG1	twisted gastrulation BMP signaling modulator 1
8359	2.16e-04	1.94e-06	1.27	-4.759267	-6.042785	10.25	H4C1	H4 clustered histone 1
5571	2.16e-04	1.96e-06	1.284	-4.757458	-6.106368	13.43	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1
100532731	2.17e-04	1.99e-06	1.187	-4.754399	-5.643733	16.42	COMMD3-BMI1	COMMD3-BMI1 readthrough
169841	2.22e-04	2.07e-06	0.972	4.746784	4.613058	132.92	ZNF169	zinc finger protein 169
57645	2.38e-04	2.25e-06	1.428	-4.729235	-6.754635	13.28	POGK	pogo transposable element derived with KRAB domain
55173	2.40e-04	2.33e-06	1.333	-4.722797	-6.296334	39.66	MRPS10	mitochondrial ribosomal protein S10
7546	2.40e-04	2.33e-06	1.182	4.72271	5.581255	64.42	ZIC2	Zic family member 2
51657	2.41e-04	2.38e-06	1.395	-4.718473	-6.582309	19.1	STYXL1	serine/threonine/tyrosine interacting like 1
367	2.43e-04	2.42e-06	1.26	4.714591	5.938606	27.47	AR	androgen receptor
7920	2.54e-04	2.60e-06	1.428	-4.70019	-6.710164	34.57	ABHD16A	abhydrolase domain containing 16A, phospholipase
5015	2.54e-04	2.57e-06	1.249	4.702648	5.87385	180.85	OTX2	orthodenticle homeobox 2
282770	2.69e-04	2.79e-06	1.139	4.685547	5.337861	135.46	OR10AG1	olfactory receptor family 10 subfamily AG member 1
100526836	2.71e-04	2.90e-06	1.492	-4.677779	-6.978266	24.78	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)
7422	2.71e-04	2.95e-06	1.251	-4.674137	-5.848723	32.68	VEGFA	vascular endothelial growth factor A
102723603	2.71e-04	2.94e-06	1.008	4.675299	4.714779	1057.49	CDC27P11	cell division cycle 27 pseudogene 11
102724621	2.71e-04	2.90e-06	1.014	4.677494	4.744588	968.77	LOC102724621	cell division cycle protein 27 homolog
102723584	2.71e-04	2.99e-06	1.016	4.671612	4.745227	962.22	CDC27P10	cell division cycle 27 pseudogene 10
102723570	2.91e-04	3.25e-06	1.021	4.654548	4.752029	919.06	CDC27P9	cell division cycle 27 pseudogene 9
91975	2.98e-04	3.36e-06	1.018	4.647492	4.730699	97.57	ZNF300	zinc finger protein 300
286365	3.00e-04	3.43e-06	1.061	4.643289	4.924952	238.78	OR13D1	olfactory receptor family 13 subfamily D member 1
54946	3.28e-04	3.79e-06	1.281	-4.622634	-5.921897	7.4	SLC41A3	solute carrier family 41 member 3
93663	3.48e-04	4.07e-06	1.195	-4.607875	-5.50547	6.81	ARHGAP18	Rho GTPase activating protein 18
342897	3.55e-04	4.19e-06	0.588	4.601504	2.705832	8697.87	NCCRP1	NCCRP1, F-box associated domain containing
84079	3.72e-04	4.44e-06	1.191	-4.589501	-5.464021	8.39	ANKRD27	ankyrin repeat domain 27
10401	3.78e-04	4.58e-06	1.49	-4.583383	-6.827889	17.63	PIAS3	protein inhibitor of activated STAT 3
59344	3.78e-04	4.67e-06	1.064	4.579077	4.873435	1737.72	ALOXE3	arachidonate lipoxygenase 3
8678	3.78e-04	4.67e-06	1.478	-4.579273	-6.766149	42.73	BECN1	beclin 1
9467	3.81e-04	4.75e-06	1.377	-4.575401	-6.302163	47.04	SH3BP5	SH3 domain binding protein 5
3096	4.20e-04	5.29e-06	1.397	-4.552986	-6.359654	14.61	HIVEP1	HIVEP zinc finger 1
51542	4.76e-04	6.06e-06	1.393	-4.524425	-6.303624	23.53	VPS54	VPS54 subunit of GARP complex
93474	4.85e-04	6.24e-06	1.073	4.518019	4.848972	105.44	ZNF670	zinc finger protein 670
26149	4.86e-04	6.31e-06	1.003	4.515672	4.52782	64.15	ZNF658	zinc finger protein 658
473	5.00e-04	6.59e-06	1.51	-4.506557	-6.80519	17.4	RERE	arginine-glutamic acid dipeptide repeats
55001	5.00e-04	6.66e-06	1.348	-4.504317	-6.071239	10.84	TTC22	tetratricopeptide repeat domain 22
3043	5.00e-04	6.69e-06	0.986	4.503174	4.438403	2295.11	HBB	hemoglobin subunit beta
100310812	5.00e-04	6.77e-06	0.97	4.500885	4.364789	171.01	SPDYE2B	speedy/RINGO cell cycle regulator family member E2B
101929627	5.81e-04	7.96e-06	1.045	4.466134	4.665402	679.32	LOC101929627	putative exonuclease GOR
113026	5.81e-04	8.02e-06	0.807	4.464773	3.602057	2821.33	PLCD3	phospholipase C delta 3
27178	6.17e-04	8.59e-06	1.099	4.449962	4.892428	1345.99	IL37	interleukin 37
6722	6.27e-04	8.80e-06	1.249	-4.444709	-5.549593	39.46	SRF	serum response factor
100288562	6.49e-04	9.21e-06	1.042	4.435022	4.621422	670.8	LOC100288562	
100288527	6.62e-04	9.56e-06	1.042	4.426878	4.61324	677.71	REXO1L2P	REXO1 like 2, pseudogene
23283	6.62e-04	9.52e-06	1.432	-4.427849	-6.339315	9.97	CSTF2T	cleavage stimulation factor subunit 2 tau variant
54915	6.86e-04	9.99e-06	1.444	-4.417346	-6.380286	24.82	YTHDF1	YTH N6-methyladenosine RNA binding protein 1
25862	6.94e-04	1.02e-05	1.327	-4.412285	-5.853935	7.12	USP49	ubiquitin specific peptidase 49
54892	6.94e-04	1.03e-05	1.422	-4.410939	-6.274276	9.53	NCAPG2	non-SMC condensin II complex subunit G2
101929601	6.99e-04	1.06e-05	1.037	4.405579	4.567464	724.9	LOC101929601	putative exonuclease GOR
57655	6.99e-04	1.06e-05	1.68	-4.405567	-7.401188	175.1	GRAMD1A	GRAM domain containing 1A
728379	7.43e-04	1.13e-05	1.088	4.390513	4.776789	402.54	USP17L26	ubiquitin specific peptidase 17 like family member 26
728405	7.56e-04	1.18e-05	1.099	4.381216	4.81567	401.98	USP17L29	ubiquitin specific peptidase 17 like family member 29
55501	7.56e-04	1.18e-05	1.273	4.381176	5.575326	123.58	CHST12	carbohydrate sulfotransferase 12
219436	7.56e-04	1.18e-05	1.135	4.381062	4.974112	416.82	OR5D14	olfactory receptor family 5 subfamily D member 14
6687	7.63e-04	1.20e-05	1.431	-4.37734	-6.262281	12.02	SPG7	SPG7 matrix AAA peptidase subunit, paraplegin
388698	7.96e-04	1.26e-05	0.627	4.366245	2.739526	28195.09	FLG2	filaggrin 2
741	8.04e-04	1.29e-05	1.277	-4.362144	-5.571003	11.63	ZNHIT2	zinc finger HIT-type containing 2
51022	8.05e-04	1.32e-05	1.394	-4.356245	-6.073805	13.68	GLRX2	glutaredoxin 2
107983979	8.05e-04	1.30e-05	1.082	-4.359414	-4.717946	14.68	LOC107983979	
23412	8.05e-04	1.33e-05	1.35	-4.354862	-5.880473	14.07	COMMD3	COMM domain containing 3
219432	8.05e-04	1.32e-05	1.176	4.357042	5.12343	134.68	OR4C6	olfactory receptor family 4 subfamily C member 6
26539	8.06e-04	1.34e-05	1.268	4.352767	5.51737	475.6	OR10H1	olfactory receptor family 10 subfamily H member 1
441294	8.22e-04	1.38e-05	1.1	4.346899	4.783243	352.81	CTAGE15	CTAGE family member 15
100287364	8.31e-04	1.42e-05	1.121	4.341279	4.864942	390.28	USP17L18	ubiquitin specific peptidase 17 like family member 18
391622	8.31e-04	1.42e-05	1.113	4.340208	4.830847	388.55	USP17L6P	ubiquitin specific peptidase 17 like family member 6, pseudogene
90527	8.31e-04	1.43e-05	1.342	-4.339209	-5.821595	30.94	DUOXA1	dual oxidase maturation factor 1
256302	8.38e-04	1.45e-05	1.333	-4.335823	-5.779605	29.26	NATD1	N-acetyltransferase domain containing 1
267	8.82e-04	1.54e-05	1.455	-4.322989	-6.290242	12.25	AMFR	autocrine motility factor receptor
55276	8.89e-04	1.56e-05	1.382	-4.319521	-5.968075	9.68	PGM2	phosphoglucomutase 2
728419	9.06e-04	1.61e-05	1.104	4.313653	4.761401	397.21	USP17L30	ubiquitin specific peptidase 17 like family member 30
728369	9.08e-04	1.62e-05	1.097	4.311475	4.731771	399.49	USP17L24	ubiquitin specific peptidase 17 like family member 24
9646	9.19e-04	1.65e-05	1.394	-4.307197	-6.003501	21.36	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component
728373	9.33e-04	1.72e-05	1.103	4.29904	4.742113	396.23	USP17L25	ubiquitin specific peptidase 17 like family member 25
26100	9.33e-04	1.71e-05	0.733	4.299112	3.14963	3440.41	WIPI2	WD repeat domain, phosphoinositide interacting 2
137886	9.33e-04	1.71e-05	1.418	-4.300073	-6.096737	10.4	UBXN2B	UBX domain protein 2B
55751	9.61e-04	1.78e-05	1.422	-4.290922	-6.100095	53.23	TMEM184C	transmembrane protein 184C
728386	9.70e-04	1.81e-05	1.119	4.287319	4.797942	405.1	USP17L5	ubiquitin specific peptidase 17 like family member 5
5565	9.81e-04	1.84e-05	1.275	-4.283197	-5.459348	10.69	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2
55206	9.85e-04	1.86e-05	1.47	-4.280853	-6.290999	32.73	SBNO1	strawberry notch homolog 1
10871	9.99e-04	1.90e-05	1.065	4.276045	4.554426	30.7	CD300C	CD300c molecule
7485	1.03e-03	1.99e-05	1.227	-4.265767	-5.234773	11.29	GET1	guided entry of tail-anchored proteins factor 1
106865373	1.03e-03	1.99e-05	1.227	-4.265767	-5.234773	11.29	GET1-SH3BGR	GET1-SH3BGR readthrough
100287513	1.04e-03	2.04e-05	1.093	4.260419	4.656169	405.87	USP17L22	ubiquitin specific peptidase 17 like family member 22
728400	1.04e-03	2.07e-05	1.121	4.257741	4.771164	391.18	USP17L28	ubiquitin specific peptidase 17 like family member 28
84953	1.04e-03	2.03e-05	1.312	-4.261439	-5.5925	13.96	MICALCL	replaced by ID 9645
8717	1.04e-03	2.06e-05	1.053	-4.258496	-4.484627	4.93	TRADD	TNFRSF1A associated via death domain
349196	1.08e-03	2.16e-05	1.074	4.248187	4.561465	75.61	LINC00965	long intergenic non-protein coding RNA 965
1238	1.14e-03	2.33e-05	1.061	4.230794	4.4871	27.32	ACKR2	atypical chemokine receptor 2
728393	1.14e-03	2.31e-05	1.112	4.232497	4.707365	397.48	USP17L27	ubiquitin specific peptidase 17 like family member 27
8906	1.14e-03	2.32e-05	1.154	-4.231543	-4.883141	5.65	AP1G2	adaptor related protein complex 1 subunit gamma 2
100287404	1.19e-03	2.46e-05	1.116	4.218616	4.707625	399.72	USP17L19	ubiquitin specific peptidase 17 like family member 19
158747	1.19e-03	2.44e-05	1.496	-4.219991	-6.311815	20.89	MOSPD2	motile sperm domain containing 2
100129271	1.22e-03	2.52e-05	0.787	4.212724	3.315944	10670.53	C1orf68	chromosome 1 open reading frame 68
79673	1.22e-03	2.54e-05	1.194	-4.21097	-5.028734	6.61	ZNF329	zinc finger protein 329
100287441	1.22e-03	2.58e-05	1.114	4.207916	4.688789	406.76	USP17L20	ubiquitin specific peptidase 17 like family member 20
25939	1.22e-03	2.59e-05	1.323	-4.206996	-5.567412	5.83	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
340307	1.23e-03	2.62e-05	1.136	4.204103	4.776054	351.09	CTAGE6	CTAGE family member 6
6499	1.25e-03	2.68e-05	1.327	-4.199184	-5.572723	5.82	SKIC2	SKI2 subunit of superkiller complex
653316	1.29e-03	2.78e-05	1.128	4.190968	4.728825	92.91	FAM153CP	protein FAM153C
201254	1.31e-03	2.84e-05	1.233	-4.185965	-5.160923	8.77	CENPX	centromere protein X
8021	1.41e-03	3.08e-05	1.302	-4.167302	-5.425466	10.61	NUP214	nucleoporin 214
51527	1.41e-03	3.09e-05	1.477	-4.166811	-6.153941	18.78	GSKIP	GSK3B interacting protein
55643	1.46e-03	3.22e-05	1.628	-4.157279	-6.766288	28.95	BTBD2	BTB domain containing 2
55831	1.48e-03	3.34e-05	1.291	-4.148784	-5.355522	76.46	EMC3	ER membrane protein complex subunit 3
100533183	1.48e-03	3.33e-05	1.155	4.149771	4.794009	46.06	ZNF664-RFLNA	ZNF664-RFLNA readthrough
144347	1.48e-03	3.33e-05	1.155	4.149771	4.794009	46.06	RFLNA	refilin A
85378	1.48e-03	3.32e-05	1.264	-4.150146	-5.246913	13.13	TUBGCP6	tubulin gamma complex associated protein 6
10051	1.79e-03	4.09e-05	1.314	-4.102466	-5.389519	6.44	SMC4	structural maintenance of chromosomes 4
118430	1.79e-03	4.08e-05	0.867	-4.102718	-3.558306	26958.89	MUCL1	mucin like 1
8443	1.86e-03	4.28e-05	1.327	-4.091664	-5.428705	17.39	GNPAT	glyceronephosphate O-acyltransferase
159090	1.88e-03	4.34e-05	1.457	-4.088582	-5.957285	15.86	PABIR2	PABIR family member 2
23211	1.89e-03	4.38e-05	1.383	-4.086234	-5.652847	17.25	ZC3H4	zinc finger CCCH-type containing 4
4495	1.98e-03	4.64e-05	1.032	4.073147	4.20161	29.12	MT1G	metallothionein 1G
153579	2.00e-03	4.69e-05	1.232	4.070538	5.016824	36.06	BTNL9	butyrophilin like 9
730262	2.10e-03	4.97e-05	1.397	4.057253	5.667655	162.27	PPIAL4E	peptidylprolyl isomerase A like 4E
147807	2.14e-03	5.09e-05	1.247	-4.05144	-5.052421	5.43	ZNF524	zinc finger protein 524
54939	2.19e-03	5.24e-05	1.472	-4.044589	-5.954985	29.97	COMMD4	COMM domain containing 4
665	2.27e-03	5.46e-05	0.654	4.03512	2.639816	6483.02	BNIP3L	BCL2 interacting protein 3 like
23358	2.28e-03	5.52e-05	1.595	-4.032521	-6.433761	23.23	USP24	ubiquitin specific peptidase 24
23152	2.33e-03	5.67e-05	1.47	-4.026288	-5.91983	38.49	CIC	capicua transcriptional repressor
51031	2.39e-03	5.84e-05	1.255	-4.019127	-5.042043	14.57	GLOD4	glyoxalase domain containing 4
728945	2.40e-03	5.90e-05	1.398	4.016652	5.613797	160.75	PPIAL4F	peptidylprolyl isomerase A like 4F
27075	2.49e-03	6.14e-05	1.367	-4.007209	-5.477637	20.01	TSPAN13	tetraspanin 13
51091	2.51e-03	6.23e-05	1.238	-4.003879	-4.958349	3.78	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
1362	2.59e-03	6.46e-05	1.592	-3.995278	-6.358991	155.42	CPD	carboxypeptidase D
25820	2.66e-03	6.68e-05	1.001	3.987406	3.989432	992.84	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1
2121	2.67e-03	6.73e-05	1.358	-3.985466	-5.411429	5.24	EVC	EvC ciliary complex subunit 1
285596	2.67e-03	6.78e-05	1.195	3.983966	4.760404	88.7	FAM153A	family with sequence similarity 153 member A
8892	2.75e-03	7.00e-05	1.543	-3.976277	-6.134737	66.84	EIF2B2	eukaryotic translation initiation factor 2B subunit beta
54619	2.84e-03	7.27e-05	1.412	-3.967379	-5.603056	9.45	CCNJ	cyclin J
7280	2.85e-03	7.32e-05	1.49	-3.965476	-5.910443	173.13	TUBB2A	tubulin beta 2A class IIa
10966	2.87e-03	7.41e-05	1.218	-3.962612	-4.82727	4.93	RAB40B	RAB40B, member RAS oncogene family
10912	2.95e-03	7.72e-05	1.138	-3.953082	-4.500452	7.34	GADD45G	growth arrest and DNA damage inducible gamma
728137	2.95e-03	7.71e-05	1.303	3.953228	5.149361	94.24	TSPY3	testis specific protein Y-linked 3
23731	2.99e-03	7.86e-05	1.494	-3.948708	-5.899494	67.53	TMEM245	transmembrane protein 245
22837	3.03e-03	7.99e-05	1.27	-3.944754	-5.010005	4.89	COBLL1	cordon-bleu WH2 repeat protein like 1
353135	3.06e-03	8.12e-05	0.932	3.940858	3.672511	204.47	LCE1E	late cornified envelope 1E
644	3.09e-03	8.24e-05	1.4	-3.937241	-5.510501	10.29	BLVRA	biliverdin reductase A
9658	3.31e-03	8.87e-05	1.511	-3.919532	-5.921438	9.94	ZNF516	zinc finger protein 516
100287238	3.36e-03	9.04e-05	1.062	3.91511	4.159297	1415.07	USP17L13	ubiquitin specific peptidase 17 like family member 13
1032	3.40e-03	9.19e-05	1.504	-3.910962	-5.883938	33.11	CDKN2D	cyclin dependent kinase inhibitor 2D
201176	3.47e-03	9.43e-05	1.295	-3.904865	-5.057371	54.63	ARHGAP27	Rho GTPase activating protein 27
2256	3.60e-03	9.82e-05	1.466	-3.894885	-5.709057	14.13	FGF11	fibroblast growth factor 11
100287178	3.71e-03	1.03e-04	1.046	3.884019	4.062923	1740.26	USP17L11	ubiquitin specific peptidase 17 like family member 11
51503	3.71e-03	1.02e-04	1.479	-3.885993	-5.747254	52.93	CWC15	CWC15 spliceosome associated protein homolog
29855	3.71e-03	1.02e-04	1.539	-3.885171	-5.979738	21.2	UBN1	ubinuclein 1
729442	3.72e-03	1.04e-04	1.146	3.881857	4.448186	60.87	GAGE12H	G antigen 12H
219858	3.77e-03	1.05e-04	1.658	3.877727	6.428574	62.97	OR8B12	olfactory receptor family 8 subfamily B member 12
645142	3.84e-03	1.08e-04	1.462	3.871644	5.659252	160.65	PPIAL4D	peptidylprolyl isomerase A like 4D
1523	3.84e-03	1.08e-04	1.637	-3.871054	-6.33693	39.39	CUX1	cut like homeobox 1
441273	3.95e-03	1.12e-04	1.011	3.862852	3.906728	71.55	SPDYE2	speedy/RINGO cell cycle regulator family member E2
391627	4.05e-03	1.15e-04	1.049	3.855576	4.044686	1720.07	USP17L9P	ubiquitin specific peptidase 17 like family member 9, pseudogene
22862	4.11e-03	1.18e-04	1.637	-3.851112	-6.303009	25.56	FNDC3A	fibronectin type III domain containing 3A
79144	4.11e-03	1.18e-04	0.54	3.849615	2.07721	3398.11	PPDPF	pancreatic progenitor cell differentiation and proliferation factor
3782	4.17e-03	1.20e-04	1.134	3.845475	4.360298	22.79	KCNN3	potassium calcium-activated channel subfamily N member 3
59307	4.25e-03	1.23e-04	1.167	-3.839627	-4.481133	4.11	SIGIRR	single Ig and TIR domain containing
119749	4.30e-03	1.25e-04	1.28	3.835695	4.90937	296.44	OR4C46	olfactory receptor family 4 subfamily C member 46
100288520	4.30e-03	1.26e-04	1.057	3.834172	4.051233	1332.36	USP17L15	ubiquitin specific peptidase 17 like family member 15
24140	4.38e-03	1.29e-04	1.414	-3.828713	-5.41256	25.09	FTSJ1	FtsJ RNA 2'-O-methyltransferase 1
162515	4.58e-03	1.35e-04	1.196	-3.81681	-4.564726	3.59	SLC16A11	solute carrier family 16 member 11
8237	4.62e-03	1.37e-04	1.332	-3.813134	-5.080214	11.23	USP11	ubiquitin specific peptidase 11
100287327	4.69e-03	1.40e-04	1.065	3.808658	4.057949	1338.93	USP17L17	ubiquitin specific peptidase 17 like family member 17
91869	4.78e-03	1.43e-04	1.242	-3.802793	-4.723123	13.8	RFT1	RFT1 homolog
107984131	4.80e-03	1.44e-04	1.108	3.800452	4.211931	30.18	LOC107984131	uncharacterized LOC107984131
100287478	4.85e-03	1.46e-04	1.065	3.797144	4.042388	256.48	USP17L21	ubiquitin specific peptidase 17 like family member 21
353133	4.91e-03	1.49e-04	0.737	3.793114	2.795087	12842.15	LCE1C	late cornified envelope 1C
160419	4.95e-03	1.51e-04	1.109	3.789926	4.202241	160.8	C12orf50	chromosome 12 open reading frame 50
6744	4.96e-03	1.52e-04	0.749	3.786966	2.836225	2760.9	ITPRID2	ITPR interacting domain containing 2
1459	4.96e-03	1.52e-04	0.862	3.787067	3.262604	3689.84	CSNK2A2	casein kinase 2 alpha 2
55605	4.98e-03	1.54e-04	1.286	-3.78489	-4.86865	16.14	KIF21A	kinesin family member 21A
113939925	5.09e-03	1.58e-04	1.216	3.778785	4.593527	155.25	BMS1P4-AGAP5	BMS1P4-AGAP5 readthrough
84726	5.32e-03	1.66e-04	1.236	-3.76648	-4.654923	21.36	PRRC2B	proline rich coiled-coil 2B
54806	5.37e-03	1.68e-04	1.278	-3.763257	-4.808446	6.42	AHI1	Abelson helper integration site 1
60493	5.52e-03	1.73e-04	1.195	-3.755088	-4.488865	5.49	FASTKD5	FAST kinase domains 5
25984	5.56e-03	1.75e-04	0.737	3.752429	2.763995	3746.58	KRT23	keratin 23
