ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
44165	0.0004229	6.20e-07	-5.29	5.7992263	-2.20e-01	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase
39031	0.0004565	6.88e-07	-5.27	5.7046016	-6.67e-01		
23483	0.0004565	6.90e-07	-5.26	5.7017401	-2.78e-01		
4182	0.0004573	7.01e-07	-5.26	5.6868569	-4.63e-01	D2HGDH	D-2-hydroxyglutarate dehydrogenase
31524	0.0004588	7.18e-07	-5.26	5.6649752	-2.19e-01	SGSM2	small G protein signaling modulator 2
23783	0.0004588	7.27e-07	-5.25	5.6533336	-2.31e-01	SZT2	seizure threshold 2 homolog (mouse)
31691	0.0004588	7.36e-07	-5.25	5.6417448	-2.79e-01	CHKB	choline kinase beta
10235	0.0004588	7.44e-07	-5.25	5.6321759	-3.11e-01	MUSTN1	musculoskeletal, embryonic nuclear protein 1
17963	0.0004698	7.72e-07	-5.24	5.5979174	-2.57e-01		
19616	0.0004755	8.03e-07	-5.23	5.5627253	-2.47e-01	HDAC10	histone deacetylase 10
41783	0.0004755	8.03e-07	-5.23	5.562467	-2.92e-01	DUSP8	dual specificity phosphatase 8
3114	0.0004792	8.20e-07	5.22	5.5434004	1.04		
33521	0.0004833	8.37e-07	-5.22	5.5238215	-3.43e-01	PABPC1L	poly(A) binding protein cytoplasmic 1 like
23164	0.0005027	8.82e-07	-5.21	5.4760735	-3.29e-01	SAPCD1	suppressor APC domain containing 1
40213	0.0005085	9.16e-07	-5.20	5.441172	-2.04e-01	CYP2D6	cytochrome P450 family 2 subfamily D member 6
154	0.0005085	9.24e-07	5.20	5.433803	4.00e-01	ADRB2	adrenoceptor beta 2
19305	0.0005085	9.26e-07	-5.20	5.4313605	-4.01e-01	MYO1G	myosin IG
34743	0.0005128	9.46e-07	-5.19	5.4124161	-2.40e-01	CLASRP	CLK4 associating serine/arginine rich protein
9592	0.000524	9.80e-07	-5.18	5.3800299	-4.16e-01	PDXDC2P	pyridoxal dependent decarboxylase domain containing 2, pseudogene
3880	0.000524	9.89e-07	-5.18	5.3708351	-1.46	SCGB1A1	secretoglobin family 1A member 1
16067	0.0005275	1.02e-06	-5.17	5.3454449	-2.17e-01		
40952	0.0005275	1.03e-06	-5.17	5.3376524	-4.27e-01	CIRBP	cold inducible RNA binding protein
25939	0.0005275	1.03e-06	-5.17	5.3330514	-1.78e-01	HDAC6	histone deacetylase 6
24090	0.000544	1.08e-06	-5.16	5.2944921	-2.41e-01	LOC146880	Rho GTPase activating protein 27 pseudogene
1759	0.0005727	1.15e-06	-5.15	5.2365895	-4.73e-01	ADAMTSL4	ADAMTS like 4
22474	0.0005727	1.16e-06	-5.14	5.2269357	-2.95e-01	CCNL2	cyclin L2
35775	0.0005851	1.20e-06	-5.14	5.1973175	-2.44e-01		
23812	0.0006241	1.29e-06	-5.12	5.1282342	-3.36e-01	TMC8	transmembrane channel like 8
27768	0.0006381	1.34e-06	-5.11	5.0944043	-4.17e-01	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough
14734	0.0006381	1.36e-06	-5.11	5.0791456	-2.39e-01	ZNF493	zinc finger protein 493
39063	0.0006381	1.36e-06	-5.11	5.0771266	-5.46e-01	RGL3	ral guanine nucleotide dissociation stimulator like 3
13722	0.0006381	1.37e-06	-5.10	5.0694546	-5.27e-01		
15549	0.000641	1.42e-06	-5.10	5.0422253	-2.07e-01		
17039	0.000641	1.42e-06	-5.10	5.0421935	-2.92e-01		
5574	0.000641	1.42e-06	-5.10	5.0373239	-3.25e-01	USP36	ubiquitin specific peptidase 36
26907	0.0006878	1.54e-06	-5.08	4.9636845	-2.99e-01	ZMIZ2	zinc finger MIZ-type containing 2
17271	0.0007071	1.60e-06	-5.07	4.9293837	-3.15e-01		
4632	0.000714	1.63e-06	-5.06	4.911505	-4.43e-01	LOC100132217	uncharacterized LOC100132217
39052	0.0008283	1.92e-06	-5.03	4.7659514	-3.21e-01		
36074	0.0008283	1.93e-06	-5.02	4.7579891	-1.68e-01		
9039	0.0008357	1.97e-06	5.02	4.7412451	3.82e-01	ADRB2	adrenoceptor beta 2
23947	0.0008816	2.10e-06	5.01	4.683665	3.83e-01	ADRB2	adrenoceptor beta 2
41997	0.0008831	2.13e-06	-5.00	4.6679625	-1.72e-01	PPP6R2	protein phosphatase 6 regulatory subunit 2
17860	0.0008831	2.15e-06	-5.00	4.6621444	-3.22e-01		
5637	0.0008831	2.16e-06	5.00	4.6568287	2.63e-01	CDKN2AIP	CDKN2A interacting protein
29530	0.0008924	2.20e-06	-4.99	4.6389833	-3.54e-01		
23349	0.0009057	2.25e-06	-4.99	4.6172073	-5.70e-01		
13509	0.000906	2.28e-06	-4.99	4.60591	-2.51e-01		
12224	0.000906	2.29e-06	-4.98	4.6007542	-2.22e-01		
26703	0.0009134	2.33e-06	-4.98	4.5852623	-2.38e-01	SWAP70	SWAP switching B-cell complex 70kDa subunit
27812	0.0009319	2.40e-06	-4.97	4.5589777	-3.80e-01		
21697	0.000944	2.45e-06	-4.97	4.5393492	-1.57e-01		
16315	0.000946	2.48e-06	-4.97	4.5296197	-4.98e-01	ADAMTSL4	ADAMTS like 4
24773	0.0009703	2.57e-06	-4.96	4.4986768	-4.66e-01		
21872	0.0010495	2.80e-06	-4.94	4.419324	-2.80e-01	WASH1	WAS protein family homolog 1
13992	0.0010632	2.86e-06	-4.93	4.3998222	-1.85e-01		
28698	0.0010724	2.93e-06	-4.93	4.3778247	-3.13e-01	UBAP1L	ubiquitin associated protein 1 like
9345	0.0010724	2.93e-06	-4.93	4.3770245	-3.14e-01		
16122	0.0011134	3.07e-06	-4.92	4.3352592	-2.09e-01	EPOR	erythropoietin receptor
30994	0.0012341	3.43e-06	-4.89	4.2338213	-3.35e-01	KIAA0895L	KIAA0895 like
21220	0.0012484	3.49e-06	-4.88	4.2160124	-2.55e-01		
23026	0.0012585	3.57e-06	-4.88	4.196728	-2.92e-01		
9422	0.0012585	3.58e-06	-4.88	4.1942746	-2.39e-01	ACADVL	acyl-CoA dehydrogenase, very long chain
17990	0.0013136	3.76e-06	-4.87	4.1479611	-3.66e-01		
7338	0.0013258	3.85e-06	-4.86	4.1277675	-2.20e-01	CLASRP	CLK4 associating serine/arginine rich protein
13558	0.0013258	3.86e-06	-4.86	4.1255165	-3.61e-01		
26430	0.0013617	3.99e-06	-4.85	4.0941215	-2.55e-01	CDK5RAP3	CDK5 regulatory subunit associated protein 3
14917	0.0013657	4.04e-06	-4.85	4.0845339	-3.09e-01		
17082	0.0013704	4.08e-06	-4.85	4.0745336	-1.70e-01	GRIPAP1	GRIP1 associated protein 1
43991	0.0013711	4.11e-06	-4.85	4.0673223	-3.03e-01	VPS9D1	VPS9 domain containing 1
43115	0.0014303	4.33e-06	-4.83	4.0203794	-3.18e-01		
14221	0.0014303	4.35e-06	-4.83	4.0152572	-2.72e-01	WASH1	WAS protein family homolog 1
14236	0.0014392	4.41e-06	-4.83	4.0029631	-2.96e-01		
43159	0.0014444	4.46e-06	-4.83	3.9930577	-1.91e-01	SMYD4	SET and MYND domain containing 4
29568	0.0014917	4.65e-06	-4.82	3.9549754	-3.50e-01	SCO2	SCO2 cytochrome c oxidase assembly protein
33278	0.0014917	4.67e-06	-4.81	3.950558	-1.99e-01	INPPL1	inositol polyphosphate phosphatase like 1
14680	0.0015386	4.85e-06	-4.81	3.9158278	-3.67e-01	CAPN3	calpain 3
42463	0.0015934	5.06e-06	-4.80	3.8774522	-3.62e-01	LINC01000	long intergenic non-protein coding RNA 1000
35079	0.0016856	5.39e-06	-4.78	3.8197708	-4.39e-01		
37873	0.0017785	5.74e-06	-4.76	3.761996	-3.98e-01	EXOC3	exocyst complex component 3
40994	0.0017785	5.78e-06	-4.76	3.7562422	-3.30e-01		
30210	0.0017785	5.81e-06	-4.76	3.7519254	-4.07e-01		
37708	0.0017917	5.89e-06	-4.76	3.7389809	-2.11e-01		
22802	0.001839	6.12e-06	4.75	3.7048554	1.11		
20515	0.001839	6.13e-06	-4.75	3.7029639	-2.07e-01		
31187	0.0018712	6.28e-06	-4.74	3.6810627	-4.18e-01		
42533	0.0019316	6.52e-06	-4.73	3.6460285	-2.93e-01		
26371	0.0019549	6.68e-06	-4.73	3.6248557	-1.91e-01	NAT6	N-acetyltransferase 6
11178	0.0019549	6.69e-06	-4.73	3.6231774	-1.74e-01	ZBTB48	zinc finger and BTB domain containing 48
25612	0.0019743	6.80e-06	-4.72	3.6082508	-3.07e-01	LPCAT1	lysophosphatidylcholine acyltransferase 1
15438	0.0019797	6.86e-06	-4.72	3.5998916	-5.25e-01		
17156	0.0020146	7.03e-06	-4.72	3.5781078	-5.13e-01		
27143	0.0020548	7.21e-06	-4.71	3.5543154	-1.98e-01	ZNF586	zinc finger protein 586
24771	0.0021915	7.74e-06	-4.69	3.4898073	-2.48e-01	MROH1	maestro heat like repeat family member 1
33899	0.0022078	7.85e-06	-4.69	3.4766458	-3.11e-01		
29804	0.0022078	7.93e-06	-4.69	3.4681143	-3.56e-01	AKAP8L	A-kinase anchoring protein 8 like
4385	0.0022078	7.95e-06	-4.69	3.4659668	-2.86e-01		
28327	0.0022363	8.10e-06	-4.68	3.4486562	-2.21e-01		
15523	0.0023155	8.44e-06	-4.67	3.4113476	-2.13e-01	PAN2	PAN2 poly(A) specific ribonuclease subunit
5412	0.0023472	8.60e-06	-4.67	3.3934217	-2.94e-01	ENO3	enolase 3
41416	0.0023593	8.70e-06	-4.66	3.3832315	-2.10e-01	PROCA1	protein interacting with cyclin A1
17025	0.0024187	8.97e-06	-4.66	3.3550874	-2.71e-01		
8515	0.0024782	9.25e-06	-4.65	3.327474	-2.55e-01		
30267	0.0024867	9.34e-06	-4.65	3.3189234	-2.24e-01		
10486	0.0025863	9.78e-06	-4.63	3.2766014	-2.62e-01	RPL32P3	ribosomal protein L32 pseudogene 3
11195	0.0025863	9.82e-06	-4.63	3.272398	-5.11e-01		
20238	0.0026506	1.01e-05	-4.63	3.2447286	-2.32e-01		
16712	0.0026882	1.03e-05	-4.62	3.2265807	-2.55e-01	MC1R	melanocortin 1 receptor
13636	0.0027147	1.05e-05	-4.62	3.212392	-2.57e-01	ZMYND8	zinc finger MYND-type containing 8
26552	0.0028197	1.11e-05	-4.60	3.1619182	-2.29e-01		
34345	0.0028197	1.11e-05	-4.60	3.1596023	-3.39e-01		
15245	0.0028197	1.11e-05	-4.60	3.1589547	-1.97e-01	UVSSA	UV stimulated scaffold protein A
27047	0.0028197	1.11e-05	-4.60	3.1571099	-2.29e-01		
20719	0.0029263	1.16e-05	-4.59	3.11821	-2.44e-01		
32692	0.0029377	1.17e-05	-4.59	3.1095735	-1.89e-01	FOXK1	forkhead box K1
27874	0.003029	1.22e-05	-4.58	3.0766553	-4.89e-01	LENG8	leukocyte receptor cluster member 8
18127	0.0030534	1.23e-05	-4.58	3.064345	-5.89e-01		
19483	0.0030592	1.25e-05	-4.57	3.0543275	-2.94e-01	ABCA7	ATP binding cassette subfamily A member 7
27836	0.0030592	1.25e-05	-4.57	3.0526406	-2.22e-01	ANKRD13D	ankyrin repeat domain 13D
29686	0.003067	1.26e-05	-4.57	3.0454019	-1.93e-01	LCAT	lecithin-cholesterol acyltransferase
37798	0.0031156	1.30e-05	-4.56	3.0191183	-3.66e-01		
19995	0.0031156	1.30e-05	-4.56	3.0184023	-2.06e-01	ARID5A	AT-rich interaction domain 5A
6162	0.0031156	1.30e-05	-4.56	3.016423	-3.12e-01		
32960	0.0031264	1.31e-05	-4.56	3.0084364	-2.40e-01	GOLGA2P2Y	golgin A2 pseudogene 2, Y-linked
2845	0.0031713	1.34e-05	-4.56	2.9906588	-3.00e-01	MYO7B	myosin VIIB
24695	0.0033247	1.41e-05	-4.54	2.9428527	-1.38	SCGB3A1	secretoglobin family 3A member 1
26128	0.003432	1.46e-05	-4.53	2.9091922	-2.45e-01	ARHGAP4	Rho GTPase activating protein 4
26970	0.0034506	1.48e-05	-4.53	2.8980791	-5.17e-01	ROBO3	roundabout guidance receptor 3
17312	0.0034506	1.49e-05	-4.53	2.891746	-3.07e-01	LINC01000	long intergenic non-protein coding RNA 1000
986	0.0034506	1.49e-05	4.53	2.8901431	3.70e-01	TMEM107	transmembrane protein 107
23829	0.0035078	1.53e-05	-4.52	2.8705378	-4.02e-01	NPIPB5	nuclear pore complex interacting protein family member B5
20293	0.0035261	1.54e-05	-4.52	2.861177	-1.74e-01	ECHDC2	enoyl-CoA hydratase domain containing 2
7330	0.0035277	1.55e-05	-4.52	2.8561335	-2.91e-01	ENGASE	endo-beta-N-acetylglucosaminidase
23576	0.0035475	1.57e-05	-4.52	2.846468	-2.05e-01		
18630	0.0035952	1.60e-05	-4.51	2.8296296	-1.89e-01		
37772	0.0035952	1.61e-05	-4.51	2.825218	-1.68e-01	SZT2	seizure threshold 2 homolog (mouse)
41257	0.003723	1.67e-05	-4.50	2.7889037	-2.25e-01	SUGP2	SURP and G-patch domain containing 2
26321	0.0037381	1.69e-05	-4.50	2.7807286	-2.70e-01		
3797	0.0038457	1.74e-05	-4.49	2.7504302	-1.53e-01	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C
2141	0.0038807	1.77e-05	-4.49	2.7351342	-3.12e-01	LINC01000	long intergenic non-protein coding RNA 1000
3511	0.0038807	1.78e-05	-4.49	2.7333312	-2.75e-01	TNK2	tyrosine kinase non receptor 2
13533	0.0038877	1.79e-05	-4.48	2.7272829	-1.59e-01	METTL17	methyltransferase like 17
23672	0.0039	1.80e-05	-4.48	2.7200142	-4.80e-01		
31956	0.0040123	1.86e-05	-4.47	2.6898441	-2.36e-01		
13805	0.0040887	1.91e-05	-4.47	2.6683347	-3.31e-01		
34481	0.0041491	1.94e-05	-4.46	2.6506853	-1.78e-01		
20058	0.0041846	1.97e-05	-4.46	2.6386282	-1.40e-01	CTRL	chymotrypsin like
13936	0.004219	2.00e-05	4.46	2.6269	1.38e-01	DUSP19	dual specificity phosphatase 19
15658	0.0042227	2.01e-05	-4.45	2.62185	-2.01e-01	ZNF514	zinc finger protein 514
42367	0.0043472	2.08e-05	-4.44	2.5876632	-2.26e-01	NPEPL1	aminopeptidase-like 1
37245	0.0043472	2.09e-05	-4.44	2.5869633	-1.63e-01		
27765	0.0043658	2.11e-05	-4.44	2.5773822	-2.05e-01	MZF1	myeloid zinc finger 1
28167	0.0043658	2.11e-05	-4.44	2.5747053	-4.38e-01	TMC8	transmembrane channel like 8
42572	0.004378	2.13e-05	-4.44	2.5680202	-2.03e-01	IGLL1	immunoglobulin lambda like polypeptide 1
11794	0.0043894	2.15e-05	-4.44	2.5615154	-1.56e-01	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
42048	0.0044104	2.17e-05	4.44	2.5530446	1.94e-01	SEC61G	Sec61 translocon gamma subunit
33610	0.0044869	2.21e-05	-4.43	2.533305	-2.10e-01	NEAT1	nuclear paraspeckle assembly transcript 1 (non-protein coding)
31209	0.0045118	2.24e-05	-4.43	2.5241936	-2.10e-01		
4895	0.0045883	2.28e-05	-4.42	2.5048391	-1.97e-01		
25875	0.0047037	2.35e-05	-4.41	2.477018	-1.32e-01	NPIPA1	nuclear pore complex interacting protein family member A1
18744	0.0047037	2.36e-05	-4.41	2.474182	-2.77e-01	NPLOC4	NPL4 homolog, ubiquitin recognition factor
24286	0.0047673	2.41e-05	-4.41	2.4561933	-7.98e-01		
4407	0.0047673	2.42e-05	-4.41	2.4504733	-3.20e-01		
14445	0.0047673	2.43e-05	-4.41	2.4499926	-1.73e-01	AP1G2	adaptor related protein complex 1 gamma 2 subunit
22963	0.0047738	2.44e-05	-4.41	2.4447952	-1.70e-01	C9orf131	chromosome 9 open reading frame 131
16950	0.0048063	2.47e-05	-4.40	2.4347043	-1.82e-01	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B
37897	0.0048887	2.52e-05	4.40	2.4153279	1.69e-01	CSTF3	cleavage stimulation factor subunit 3
27321	0.00497	2.58e-05	-4.39	2.3944484	-3.02e-01		
5983	0.00497	2.58e-05	-4.39	2.3925469	-3.68e-01		
24413	0.0050416	2.63e-05	-4.39	2.3756827	-4.05e-01	LINC01000	long intergenic non-protein coding RNA 1000
17791	0.005047	2.65e-05	-4.38	2.3708473	-2.00e-01	ZFYVE27	zinc finger FYVE-type containing 27
7565	0.0052447	2.76e-05	-4.37	2.33211	-3.73e-01		
38404	0.0053496	2.83e-05	-4.37	2.3102971	-3.72e-01	LSMEM1	leucine rich single-pass membrane protein 1
26201	0.0053523	2.84e-05	-4.37	2.3060355	-1.63e-01	MFSD14B	major facilitator superfamily domain containing 14B
21186	0.0055072	2.94e-05	-4.36	2.2763207	-2.93e-01	ZNF552	zinc finger protein 552
2562	0.0055324	2.96e-05	-4.36	2.2684014	-3.29e-01	CRIPAK	cysteine rich PAK1 inhibitor
18312	0.0056694	3.05e-05	-4.35	2.2424386	-1.84e-01		
38539	0.0057124	3.08e-05	-4.35	2.2318305	-1.82e-01	CENPT	centromere protein T
24902	0.0057168	3.10e-05	-4.34	2.2274088	-2.05e-01	UBR4	ubiquitin protein ligase E3 component n-recognin 4
17543	0.0057387	3.16e-05	-4.34	2.2092011	-6.13e-01	ITIH4	inter-alpha-trypsin inhibitor heavy chain family member 4
12556	0.0057387	3.17e-05	-4.34	2.2065107	-2.39e-01		
20516	0.0057387	3.17e-05	-4.34	2.2064634	-2.25e-01	L3MBTL1	l(3)mbt-like 1 (Drosophila)
19948	0.0057387	3.17e-05	-4.34	2.2054251	-1.54e-01	MED15	mediator complex subunit 15
9130	0.0057387	3.19e-05	-4.34	2.2024325	-2.09e-01	TMEM234	transmembrane protein 234
24665	0.0057387	3.19e-05	-4.34	2.2006838	-3.98e-01	NPIPA1	nuclear pore complex interacting protein family member A1
10868	0.0057387	3.21e-05	-4.33	2.1955208	-1.83e-01	GGT7	gamma-glutamyltransferase 7
11887	0.0057387	3.21e-05	-4.33	2.1946502	-2.10e-01	TTLL3	tubulin tyrosine ligase like 3
2462	0.0057719	3.24e-05	4.33	2.1858121	1.91e-01	BBS12	Bardet-Biedl syndrome 12
12995	0.0058	3.27e-05	-4.33	2.1778344	-2.20e-01	RELL2	RELT like 2
15531	0.0058099	3.29e-05	-4.33	2.1727101	-2.56e-01		
44652	0.0058336	3.33e-05	-4.33	2.1623942	-1.99e-01	TMEM259	transmembrane protein 259
33901	0.0058336	3.33e-05	-4.33	2.1619396	-2.43e-01		
17820	0.0059213	3.41e-05	-4.32	2.1416028	-2.85e-01		
25367	0.0059213	3.41e-05	-4.32	2.1413585	-1.17e-01		
1915	0.0059793	3.45e-05	-4.32	2.1290061	-2.50e-01	MAT2A	methionine adenosyltransferase 2A
184	0.0060047	3.49e-05	4.31	2.1190012	1.70e-01	ATG5	autophagy related 5
10258	0.0060047	3.49e-05	-4.31	2.1182123	-2.16e-01		
26292	0.006042	3.54e-05	-4.31	2.1061899	-1.22e-01		
37829	0.006042	3.54e-05	-4.31	2.1057012	-3.38e-01		
30873	0.006099	3.59e-05	-4.31	2.0937447	-2.22e-01	CHTF18	chromosome transmission fidelity factor 18
2618	0.0062149	3.67e-05	-4.30	2.0732491	-2.60e-01	ZMIZ2	zinc finger MIZ-type containing 2
33400	0.0062478	3.71e-05	-4.30	2.0650484	-2.96e-01		
11242	0.0062512	3.72e-05	-4.30	2.0611705	-4.46e-01	ZBTB1	zinc finger and BTB domain containing 1
28591	0.0064614	3.86e-05	-4.29	2.027785	-1.86e-01		
7047	0.0064751	3.88e-05	-4.29	2.0225005	-1.85e-01	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
22429	0.0064769	3.91e-05	-4.28	2.0170881	-3.42e-01	GOLGA6L9	golgin A6 family-like 9
8639	0.0064769	3.91e-05	-4.28	2.0155663	-3.58e-01	DGCR8	DGCR8 microprocessor complex subunit
30221	0.0064978	3.94e-05	4.28	2.0093034	3.57e-01	CDC42EP3	CDC42 effector protein 3
40210	0.0065627	3.99e-05	4.28	1.9969875	3.81e-01		
35716	0.0066643	4.07e-05	-4.27	1.9797461	-4.00e-01		
26107	0.0066685	4.09e-05	-4.27	1.9758771	-1.53e-01	FBXL6	F-box and leucine rich repeat protein 6
20424	0.0067042	4.13e-05	-4.27	1.9677583	-2.70e-01		
25856	0.0068181	4.21e-05	-4.26	1.9492152	-2.32e-01		
15297	0.0069491	4.31e-05	-4.26	1.9287111	-1.46e-01		
19433	0.0069665	4.33e-05	-4.26	1.9231925	-3.50e-01		
36499	0.0069931	4.37e-05	-4.26	1.9159392	-4.14e-01	LOC100129397	uncharacterized LOC100129397
19506	0.0069931	4.38e-05	-4.25	1.9132899	-2.49e-01	LOC100288069	uncharacterized LOC100288069
4533	0.007051	4.44e-05	-4.25	1.900374	-3.09e-01	JOSD1	Josephin domain containing 1
24047	0.007051	4.46e-05	-4.25	1.8972318	-1.74e-01		
28363	0.007051	4.48e-05	-4.25	1.89394	-2.21e-01		
30303	0.007051	4.49e-05	-4.25	1.8915628	-1.61e-01	COPE	coatomer protein complex subunit epsilon
